Macrotrends Data Download

Bangladesh Birth Rate 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per 1000 People, Annual % Change
1950-12-31,44.864
1951-12-31,45.249,0.86
1952-12-31,45.633,0.85
1953-12-31,46.018,0.84
1954-12-31,46.403,0.84
1955-12-31,46.787,0.83
1956-12-31,47.172,0.82
1957-12-31,47.556,0.81
1958-12-31,47.941,0.81
1959-12-31,48.024,0.17
1960-12-31,48.107,0.17
1961-12-31,48.189,0.17
1962-12-31,48.272,0.17
1963-12-31,48.355,0.17
1964-12-31,48.261,-0.19
1965-12-31,48.166,-0.2
1966-12-31,48.072,-0.2
1967-12-31,47.977,-0.2
1968-12-31,47.883,-0.2
1969-12-31,47.563,-0.67
1970-12-31,47.243,-0.67
1971-12-31,46.923,-0.68
1972-12-31,46.603,-0.68
1973-12-31,46.283,-0.69
1974-12-31,45.851,-0.93
1975-12-31,45.419,-0.94
1976-12-31,44.986,-0.95
1977-12-31,44.554,-0.96
1978-12-31,44.122,-0.97
1979-12-31,43.625,-1.13
1980-12-31,43.129,-1.14
1981-12-31,42.632,-1.15
1982-12-31,42.136,-1.16
1983-12-31,41.639,-1.18
1984-12-31,40.803,-2.01
1985-12-31,39.967,-2.05
1986-12-31,39.131,-2.09
1987-12-31,38.295,-2.14
1988-12-31,37.459,-2.18
1989-12-31,36.53,-2.48
1990-12-31,35.601,-2.54
1991-12-31,34.672,-2.61
1992-12-31,33.743,-2.68
1993-12-31,32.814,-2.75
1994-12-31,32.087,-2.22
1995-12-31,31.36,-2.27
1996-12-31,30.632,-2.32
1997-12-31,29.905,-2.37
1998-12-31,29.178,-2.43
1999-12-31,28.513,-2.28
2000-12-31,27.848,-2.33
2001-12-31,27.182,-2.39
2002-12-31,26.517,-2.45
2003-12-31,25.852,-2.51
2004-12-31,25.164,-2.66
2005-12-31,24.476,-2.73
2006-12-31,23.787,-2.82
2007-12-31,23.099,-2.89
2008-12-31,22.411,-2.98
2009-12-31,21.943,-2.09
2010-12-31,21.474,-2.14
2011-12-31,21.006,-2.18
2012-12-31,20.537,-2.23
2013-12-31,20.069,-2.28
2014-12-31,19.727,-1.7
2015-12-31,19.386,-1.73
2016-12-31,19.044,-1.76
2017-12-31,18.703,-1.79
2018-12-31,18.361,-1.83
2019-12-31,18.038,-1.76
2020-12-31,17.714,-1.8
2021-12-31,17.391,-1.82
2022-12-31,17.067,-1.86
2023-12-31,16.744,-1.89
2024-12-31,16.405,-2.02
2025-12-31,16.066,-2.07
2026-12-31,15.726,-2.12
2027-12-31,15.387,-2.16
2028-12-31,15.048,-2.2
2029-12-31,14.757,-1.93
2030-12-31,14.465,-1.98
2031-12-31,14.174,-2.01
2032-12-31,13.882,-2.06
2033-12-31,13.591,-2.1
2034-12-31,13.354,-1.74
2035-12-31,13.116,-1.78
2036-12-31,12.879,-1.81
2037-12-31,12.641,-1.85
2038-12-31,12.404,-1.87
2039-12-31,12.223,-1.46
2040-12-31,12.043,-1.47
2041-12-31,11.862,-1.5
2042-12-31,11.682,-1.52
2043-12-31,11.501,-1.55
2044-12-31,11.365,-1.18
2045-12-31,11.229,-1.2
2046-12-31,11.094,-1.2
2047-12-31,10.958,-1.23
2048-12-31,10.822,-1.24
2049-12-31,10.7,-1.13
2050-12-31,10.578,-1.14
2051-12-31,10.455,-1.16
2052-12-31,10.333,-1.17
2053-12-31,10.211,-1.18
2054-12-31,10.108,-1.01
2055-12-31,10.004,-1.03
2056-12-31,9.901,-1.03
2057-12-31,9.797,-1.05
2058-12-31,9.694,-1.05
2059-12-31,9.613,-0.84
2060-12-31,9.531,-0.85
2061-12-31,9.45,-0.85
2062-12-31,9.368,-0.87
2063-12-31,9.287,-0.86
2064-12-31,9.226,-0.66
2065-12-31,9.164,-0.67
2066-12-31,9.103,-0.67
2067-12-31,9.041,-0.68
2068-12-31,8.98,-0.67
2069-12-31,8.938,-0.47
2070-12-31,8.896,-0.47
2071-12-31,8.854,-0.47
2072-12-31,8.812,-0.47
2073-12-31,8.77,-0.48
2074-12-31,8.739,-0.35
2075-12-31,8.707,-0.37
2076-12-31,8.676,-0.36
2077-12-31,8.644,-0.37
2078-12-31,8.613,-0.36
2079-12-31,8.592,-0.24
2080-12-31,8.572,-0.23
2081-12-31,8.551,-0.24
2082-12-31,8.531,-0.23
2083-12-31,8.51,-0.25
2084-12-31,8.494,-0.19
2085-12-31,8.479,-0.18
2086-12-31,8.463,-0.19
2087-12-31,8.448,-0.18
2088-12-31,8.432,-0.19
2089-12-31,8.426,-0.07
2090-12-31,8.42,-0.07
2091-12-31,8.413,-0.08
2092-12-31,8.407,-0.07
2093-12-31,8.401,-0.07
2094-12-31,8.401,0
2095-12-31,8.401,0
2096-12-31,8.4,-0.01
2097-12-31,8.4,0
2098-12-31,8.4,0
2099-12-31,8.4,0
2100-12-31,8.4,0
