Macrotrends Data Download

Benin Birth Rate 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per 1000 People, Annual % Change
1950-12-31,39.433
1951-12-31,39.893,1.17
1952-12-31,40.352,1.15
1953-12-31,40.811,1.14
1954-12-31,41.27,1.12
1955-12-31,41.729,1.11
1956-12-31,42.189,1.1
1957-12-31,42.648,1.09
1958-12-31,43.107,1.08
1959-12-31,43.551,1.03
1960-12-31,43.996,1.02
1961-12-31,44.44,1.01
1962-12-31,44.885,1
1963-12-31,45.329,0.99
1964-12-31,45.572,0.54
1965-12-31,45.815,0.53
1966-12-31,46.059,0.53
1967-12-31,46.302,0.53
1968-12-31,46.545,0.52
1969-12-31,46.632,0.19
1970-12-31,46.72,0.19
1971-12-31,46.807,0.19
1972-12-31,46.895,0.19
1973-12-31,46.982,0.19
1974-12-31,47.051,0.15
1975-12-31,47.12,0.15
1976-12-31,47.188,0.14
1977-12-31,47.257,0.15
1978-12-31,47.326,0.15
1979-12-31,47.3,-0.05
1980-12-31,47.274,-0.05
1981-12-31,47.249,-0.05
1982-12-31,47.223,-0.06
1983-12-31,47.197,-0.06
1984-12-31,47.076,-0.26
1985-12-31,46.955,-0.26
1986-12-31,46.835,-0.26
1987-12-31,46.714,-0.26
1988-12-31,46.593,-0.26
1989-12-31,46.327,-0.57
1990-12-31,46.061,-0.57
1991-12-31,45.795,-0.58
1992-12-31,45.529,-0.58
1993-12-31,45.263,-0.58
1994-12-31,44.882,-0.84
1995-12-31,44.501,-0.85
1996-12-31,44.121,-0.85
1997-12-31,43.74,-0.86
1998-12-31,43.359,-0.87
1999-12-31,42.978,-0.88
2000-12-31,42.597,-0.89
2001-12-31,42.216,-0.89
2002-12-31,41.835,-0.9
2003-12-31,41.454,-0.91
2004-12-31,41.171,-0.68
2005-12-31,40.888,-0.69
2006-12-31,40.606,-0.69
2007-12-31,40.323,-0.7
2008-12-31,40.04,-0.7
2009-12-31,39.717,-0.81
2010-12-31,39.395,-0.81
2011-12-31,39.072,-0.82
2012-12-31,38.75,-0.82
2013-12-31,38.427,-0.83
2014-12-31,38.022,-1.05
2015-12-31,37.617,-1.07
2016-12-31,37.211,-1.08
2017-12-31,36.806,-1.09
2018-12-31,36.401,-1.1
2019-12-31,36.032,-1.01
2020-12-31,35.662,-1.03
2021-12-31,35.293,-1.03
2022-12-31,34.923,-1.05
2023-12-31,34.554,-1.06
2024-12-31,34.219,-0.97
2025-12-31,33.883,-0.98
2026-12-31,33.548,-0.99
2027-12-31,33.212,-1
2028-12-31,32.877,-1.01
2029-12-31,32.551,-0.99
2030-12-31,32.225,-1
2031-12-31,31.9,-1.01
2032-12-31,31.574,-1.02
2033-12-31,31.248,-1.03
2034-12-31,30.927,-1.03
2035-12-31,30.606,-1.04
2036-12-31,30.285,-1.05
2037-12-31,29.964,-1.06
2038-12-31,29.643,-1.07
2039-12-31,29.33,-1.06
2040-12-31,29.017,-1.07
2041-12-31,28.703,-1.08
2042-12-31,28.39,-1.09
2043-12-31,28.077,-1.1
2044-12-31,27.787,-1.03
2045-12-31,27.497,-1.04
2046-12-31,27.206,-1.06
2047-12-31,26.916,-1.07
2048-12-31,26.626,-1.08
2049-12-31,26.364,-0.98
2050-12-31,26.102,-0.99
2051-12-31,25.841,-1
2052-12-31,25.579,-1.01
2053-12-31,25.317,-1.02
2054-12-31,25.083,-0.92
2055-12-31,24.849,-0.93
2056-12-31,24.616,-0.94
2057-12-31,24.382,-0.95
2058-12-31,24.148,-0.96
2059-12-31,23.92,-0.94
2060-12-31,23.692,-0.95
2061-12-31,23.463,-0.97
2062-12-31,23.235,-0.97
2063-12-31,23.007,-0.98
2064-12-31,22.799,-0.9
2065-12-31,22.59,-0.92
2066-12-31,22.382,-0.92
2067-12-31,22.173,-0.93
2068-12-31,21.965,-0.94
2069-12-31,21.761,-0.93
2070-12-31,21.557,-0.94
2071-12-31,21.353,-0.95
2072-12-31,21.149,-0.96
2073-12-31,20.945,-0.96
2074-12-31,20.75,-0.93
2075-12-31,20.556,-0.93
2076-12-31,20.361,-0.95
2077-12-31,20.167,-0.95
2078-12-31,19.972,-0.97
2079-12-31,19.804,-0.84
2080-12-31,19.635,-0.85
2081-12-31,19.467,-0.86
2082-12-31,19.298,-0.87
2083-12-31,19.13,-0.87
2084-12-31,18.968,-0.85
2085-12-31,18.806,-0.85
2086-12-31,18.644,-0.86
2087-12-31,18.482,-0.87
2088-12-31,18.32,-0.88
2089-12-31,18.16,-0.87
2090-12-31,18,-0.88
2091-12-31,17.839,-0.89
2092-12-31,17.679,-0.9
2093-12-31,17.519,-0.91
2094-12-31,17.361,-0.9
2095-12-31,17.204,-0.9
2096-12-31,17.046,-0.92
2097-12-31,16.889,-0.92
2098-12-31,16.731,-0.94
2099-12-31,16.573,-0.94
2100-12-31,16.416,-0.95
