Macrotrends Data Download

Egypt Birth Rate 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per 1000 People, Annual % Change
1950-12-31,53.005
1951-12-31,52.455,-1.04
1952-12-31,51.906,-1.05
1953-12-31,51.357,-1.06
1954-12-31,50.808,-1.07
1955-12-31,50.259,-1.08
1956-12-31,49.709,-1.09
1957-12-31,49.16,-1.1
1958-12-31,48.611,-1.12
1959-12-31,47.951,-1.36
1960-12-31,47.291,-1.38
1961-12-31,46.63,-1.4
1962-12-31,45.97,-1.42
1963-12-31,45.31,-1.44
1964-12-31,44.874,-0.96
1965-12-31,44.438,-0.97
1966-12-31,44.003,-0.98
1967-12-31,43.567,-0.99
1968-12-31,43.131,-1
1969-12-31,42.603,-1.22
1970-12-31,42.075,-1.24
1971-12-31,41.548,-1.25
1972-12-31,41.02,-1.27
1973-12-31,40.492,-1.29
1974-12-31,40.223,-0.66
1975-12-31,39.954,-0.67
1976-12-31,39.685,-0.67
1977-12-31,39.416,-0.68
1978-12-31,39.147,-0.68
1979-12-31,39.053,-0.24
1980-12-31,38.959,-0.24
1981-12-31,38.866,-0.24
1982-12-31,38.772,-0.24
1983-12-31,38.678,-0.24
1984-12-31,38.151,-1.36
1985-12-31,37.624,-1.38
1986-12-31,37.097,-1.4
1987-12-31,36.57,-1.42
1988-12-31,36.043,-1.44
1989-12-31,34.909,-3.15
1990-12-31,33.775,-3.25
1991-12-31,32.64,-3.36
1992-12-31,31.506,-3.47
1993-12-31,30.372,-3.6
1994-12-31,29.745,-2.06
1995-12-31,29.117,-2.11
1996-12-31,28.49,-2.15
1997-12-31,27.862,-2.2
1998-12-31,27.235,-2.25
1999-12-31,26.831,-1.48
2000-12-31,26.427,-1.51
2001-12-31,26.023,-1.53
2002-12-31,25.619,-1.55
2003-12-31,25.215,-1.58
2004-12-31,25.234,0.08
2005-12-31,25.252,0.07
2006-12-31,25.271,0.08
2007-12-31,25.289,0.07
2008-12-31,25.308,0.08
2009-12-31,26.019,2.81
2010-12-31,26.73,2.73
2011-12-31,27.441,2.66
2012-12-31,28.152,2.59
2013-12-31,28.863,2.53
2014-12-31,28.398,-1.61
2015-12-31,27.933,-1.64
2016-12-31,27.468,-1.66
2017-12-31,27.003,-1.69
2018-12-31,26.538,-1.72
2019-12-31,25.957,-2.19
2020-12-31,25.377,-2.23
2021-12-31,24.796,-2.29
2022-12-31,24.216,-2.34
2023-12-31,23.635,-2.4
2024-12-31,23.254,-1.61
2025-12-31,22.873,-1.64
2026-12-31,22.492,-1.67
2027-12-31,22.111,-1.69
2028-12-31,21.73,-1.72
2029-12-31,21.629,-0.46
2030-12-31,21.529,-0.46
2031-12-31,21.428,-0.47
2032-12-31,21.328,-0.47
2033-12-31,21.227,-0.47
2034-12-31,21.181,-0.22
2035-12-31,21.136,-0.21
2036-12-31,21.09,-0.22
2037-12-31,21.045,-0.21
2038-12-31,20.999,-0.22
2039-12-31,20.82,-0.85
2040-12-31,20.641,-0.86
2041-12-31,20.461,-0.87
2042-12-31,20.282,-0.87
2043-12-31,20.103,-0.88
2044-12-31,19.857,-1.22
2045-12-31,19.61,-1.24
2046-12-31,19.364,-1.25
2047-12-31,19.117,-1.28
2048-12-31,18.871,-1.29
2049-12-31,18.632,-1.27
2050-12-31,18.394,-1.28
2051-12-31,18.155,-1.3
2052-12-31,17.917,-1.31
2053-12-31,17.678,-1.33
2054-12-31,17.506,-0.97
2055-12-31,17.333,-0.99
2056-12-31,17.161,-0.99
2057-12-31,16.988,-1.01
2058-12-31,16.816,-1.01
2059-12-31,16.684,-0.78
2060-12-31,16.552,-0.79
2061-12-31,16.419,-0.8
2062-12-31,16.287,-0.8
2063-12-31,16.155,-0.81
2064-12-31,16.017,-0.85
2065-12-31,15.878,-0.87
2066-12-31,15.74,-0.87
2067-12-31,15.601,-0.88
2068-12-31,15.463,-0.88
2069-12-31,15.313,-0.97
2070-12-31,15.164,-0.97
2071-12-31,15.014,-0.99
2072-12-31,14.865,-0.99
2073-12-31,14.715,-1.01
2074-12-31,14.571,-0.98
2075-12-31,14.426,-1
2076-12-31,14.282,-1
2077-12-31,14.137,-1.02
2078-12-31,13.993,-1.02
2079-12-31,13.867,-0.9
2080-12-31,13.741,-0.91
2081-12-31,13.614,-0.92
2082-12-31,13.488,-0.93
2083-12-31,13.362,-0.93
2084-12-31,13.247,-0.86
2085-12-31,13.133,-0.86
2086-12-31,13.018,-0.88
2087-12-31,12.904,-0.88
2088-12-31,12.789,-0.89
2089-12-31,12.688,-0.79
2090-12-31,12.587,-0.8
2091-12-31,12.487,-0.79
2092-12-31,12.386,-0.81
2093-12-31,12.285,-0.82
2094-12-31,12.199,-0.7
2095-12-31,12.112,-0.71
2096-12-31,12.026,-0.71
2097-12-31,11.939,-0.72
2098-12-31,11.853,-0.72
2099-12-31,11.767,-0.73
2100-12-31,11.68,-0.74
