Macrotrends Data Download

Niger Birth Rate 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per 1000 People, Annual % Change
1950-12-31,56.878
1951-12-31,56.991,0.2
1952-12-31,57.104,0.2
1953-12-31,57.217,0.2
1954-12-31,57.33,0.2
1955-12-31,57.443,0.2
1956-12-31,57.556,0.2
1957-12-31,57.669,0.2
1958-12-31,57.782,0.2
1959-12-31,57.878,0.17
1960-12-31,57.974,0.17
1961-12-31,58.071,0.17
1962-12-31,58.167,0.17
1963-12-31,58.263,0.17
1964-12-31,58.124,-0.24
1965-12-31,57.985,-0.24
1966-12-31,57.846,-0.24
1967-12-31,57.707,-0.24
1968-12-31,57.568,-0.24
1969-12-31,57.339,-0.4
1970-12-31,57.109,-0.4
1971-12-31,56.88,-0.4
1972-12-31,56.65,-0.4
1973-12-31,56.421,-0.4
1974-12-31,56.408,-0.02
1975-12-31,56.395,-0.02
1976-12-31,56.381,-0.02
1977-12-31,56.368,-0.02
1978-12-31,56.355,-0.02
1979-12-31,56.438,0.15
1980-12-31,56.522,0.15
1981-12-31,56.605,0.15
1982-12-31,56.689,0.15
1983-12-31,56.772,0.15
1984-12-31,56.577,-0.34
1985-12-31,56.383,-0.34
1986-12-31,56.188,-0.35
1987-12-31,55.994,-0.35
1988-12-31,55.799,-0.35
1989-12-31,55.671,-0.23
1990-12-31,55.543,-0.23
1991-12-31,55.415,-0.23
1992-12-31,55.287,-0.23
1993-12-31,55.159,-0.23
1994-12-31,54.964,-0.35
1995-12-31,54.769,-0.35
1996-12-31,54.575,-0.35
1997-12-31,54.38,-0.36
1998-12-31,54.185,-0.36
1999-12-31,53.897,-0.53
2000-12-31,53.609,-0.53
2001-12-31,53.321,-0.54
2002-12-31,53.033,-0.54
2003-12-31,52.745,-0.54
2004-12-31,52.355,-0.74
2005-12-31,51.965,-0.74
2006-12-31,51.574,-0.75
2007-12-31,51.184,-0.76
2008-12-31,50.794,-0.76
2009-12-31,50.382,-0.81
2010-12-31,49.969,-0.82
2011-12-31,49.557,-0.82
2012-12-31,49.144,-0.83
2013-12-31,48.732,-0.84
2014-12-31,48.24,-1.01
2015-12-31,47.748,-1.02
2016-12-31,47.257,-1.03
2017-12-31,46.765,-1.04
2018-12-31,46.273,-1.05
2019-12-31,45.863,-0.89
2020-12-31,45.452,-0.9
2021-12-31,45.042,-0.9
2022-12-31,44.631,-0.91
2023-12-31,44.221,-0.92
2024-12-31,43.823,-0.9
2025-12-31,43.425,-0.91
2026-12-31,43.027,-0.92
2027-12-31,42.629,-0.93
2028-12-31,42.231,-0.93
2029-12-31,41.809,-1
2030-12-31,41.387,-1.01
2031-12-31,40.966,-1.02
2032-12-31,40.544,-1.03
2033-12-31,40.122,-1.04
2034-12-31,39.661,-1.15
2035-12-31,39.2,-1.16
2036-12-31,38.74,-1.17
2037-12-31,38.279,-1.19
2038-12-31,37.818,-1.2
2039-12-31,37.344,-1.25
2040-12-31,36.87,-1.27
2041-12-31,36.397,-1.28
2042-12-31,35.923,-1.3
2043-12-31,35.449,-1.32
2044-12-31,34.983,-1.31
2045-12-31,34.516,-1.33
2046-12-31,34.05,-1.35
2047-12-31,33.583,-1.37
2048-12-31,33.117,-1.39
2049-12-31,32.678,-1.33
2050-12-31,32.239,-1.34
2051-12-31,31.799,-1.36
2052-12-31,31.36,-1.38
2053-12-31,30.921,-1.4
2054-12-31,30.505,-1.35
2055-12-31,30.089,-1.36
2056-12-31,29.674,-1.38
2057-12-31,29.258,-1.4
2058-12-31,28.842,-1.42
2059-12-31,28.467,-1.3
2060-12-31,28.092,-1.32
2061-12-31,27.718,-1.33
2062-12-31,27.343,-1.35
2063-12-31,26.968,-1.37
2064-12-31,26.621,-1.29
2065-12-31,26.274,-1.3
2066-12-31,25.928,-1.32
2067-12-31,25.581,-1.34
2068-12-31,25.234,-1.36
2069-12-31,24.911,-1.28
2070-12-31,24.589,-1.29
2071-12-31,24.266,-1.31
2072-12-31,23.944,-1.33
2073-12-31,23.621,-1.35
2074-12-31,23.324,-1.26
2075-12-31,23.027,-1.27
2076-12-31,22.731,-1.29
2077-12-31,22.434,-1.31
2078-12-31,22.137,-1.32
2079-12-31,21.873,-1.19
2080-12-31,21.609,-1.21
2081-12-31,21.346,-1.22
2082-12-31,21.082,-1.24
2083-12-31,20.818,-1.25
2084-12-31,20.584,-1.12
2085-12-31,20.35,-1.14
2086-12-31,20.117,-1.14
2087-12-31,19.883,-1.16
2088-12-31,19.649,-1.18
2089-12-31,19.42,-1.17
2090-12-31,19.192,-1.17
2091-12-31,18.963,-1.19
2092-12-31,18.735,-1.2
2093-12-31,18.506,-1.22
2094-12-31,18.301,-1.11
2095-12-31,18.096,-1.12
2096-12-31,17.891,-1.13
2097-12-31,17.686,-1.15
2098-12-31,17.481,-1.16
2099-12-31,17.276,-1.17
2100-12-31,17.071,-1.19
