date, Births per 1000 People, Annual % Change
12/31/1950,36.992,
12/31/1951,37.896,2.44
12/31/1952,38.799,2.38
12/31/1953,39.703,2.33
12/31/1954,40.607,2.28
12/31/1955,41.51,2.22
12/31/1956,42.414,2.18
12/31/1957,43.317,2.13
12/31/1958,44.221,2.09
12/31/1959,43.089,-2.56
12/31/1960,41.958,-2.62
12/31/1961,40.826,-2.7
12/31/1962,39.695,-2.77
12/31/1963,38.563,-2.85
12/31/1964,37.223,-3.47
12/31/1965,35.884,-3.6
12/31/1966,34.544,-3.73
12/31/1967,33.205,-3.88
12/31/1968,31.865,-4.04
12/31/1969,31.079,-2.47
12/31/1970,30.294,-2.53
12/31/1971,29.508,-2.59
12/31/1972,28.723,-2.66
12/31/1973,27.937,-2.74
12/31/1974,26.874,-3.8
12/31/1975,25.811,-3.96
12/31/1976,24.749,-4.11
12/31/1977,23.686,-4.3
12/31/1978,22.623,-4.49
12/31/1979,22.118,-2.23
12/31/1980,21.613,-2.28
12/31/1981,21.108,-2.34
12/31/1982,20.603,-2.39
12/31/1983,20.098,-2.45
12/31/1984,19.112,-4.91
12/31/1985,18.126,-5.16
12/31/1986,17.141,-5.43
12/31/1987,16.155,-5.75
12/31/1988,15.169,-6.1
12/31/1989,15.336,1.1
12/31/1990,15.502,1.08
12/31/1991,15.669,1.08
12/31/1992,15.835,1.06
12/31/1993,16.002,1.05
12/31/1994,15.553,-2.81
12/31/1995,15.104,-2.89
12/31/1996,14.656,-2.97
12/31/1997,14.207,-3.06
12/31/1998,13.758,-3.16
12/31/1999,13.104,-4.75
12/31/2000,12.45,-4.99
12/31/2001,11.797,-5.24
12/31/2002,11.143,-5.54
12/31/2003,10.489,-5.87
12/31/2004,10.255,-2.23
12/31/2005,10.021,-2.28
12/31/2006,9.786,-2.35
12/31/2007,9.552,-2.39
12/31/2008,9.318,-2.45
12/31/2009,9.244,-0.79
12/31/2010,9.169,-0.81
12/31/2011,9.095,-0.81
12/31/2012,9.02,-0.82
12/31/2013,8.946,-0.82
12/31/2014,8.644,-3.38
12/31/2015,8.342,-3.49
12/31/2016,8.04,-3.62
12/31/2017,7.738,-3.76
12/31/2018,7.436,-3.9
12/31/2019,7.303,-1.79
12/31/2020,7.169,-1.83
12/31/2021,7.036,-1.86
12/31/2022,6.902,-1.9
12/31/2023,6.769,-1.93
12/31/2024,6.743,-0.38
12/31/2025,6.717,-0.39
12/31/2026,6.692,-0.37
12/31/2027,6.666,-0.39
12/31/2028,6.64,-0.39
12/31/2029,6.655,0.23
12/31/2030,6.67,0.23
12/31/2031,6.685,0.22
12/31/2032,6.7,0.22
12/31/2033,6.715,0.22
12/31/2034,6.637,-1.16
12/31/2035,6.559,-1.18
12/31/2036,6.481,-1.19
12/31/2037,6.403,-1.2
12/31/2038,6.325,-1.22
12/31/2039,6.296,-0.46
12/31/2040,6.266,-0.48
12/31/2041,6.237,-0.46
12/31/2042,6.207,-0.48
12/31/2043,6.178,-0.47
12/31/2044,6.193,0.24
12/31/2045,6.209,0.26
12/31/2046,6.224,0.24
12/31/2047,6.24,0.26
12/31/2048,6.255,0.24
12/31/2049,6.229,-0.42
12/31/2050,6.203,-0.42
12/31/2051,6.178,-0.4
12/31/2052,6.152,-0.42
12/31/2053,6.126,-0.42
12/31/2054,6.116,-0.16
12/31/2055,6.106,-0.16
12/31/2056,6.097,-0.15
12/31/2057,6.087,-0.16
12/31/2058,6.077,-0.16
12/31/2059,6.129,0.86
12/31/2060,6.18,0.83
12/31/2061,6.232,0.84
12/31/2062,6.283,0.82
12/31/2063,6.335,0.83
12/31/2064,6.4,1.03
12/31/2065,6.465,1.02
12/31/2066,6.53,1.01
12/31/2067,6.595,1
12/31/2068,6.66,0.99
12/31/2069,6.697,0.56
12/31/2070,6.734,0.55
12/31/2071,6.772,0.56
12/31/2072,6.809,0.55
12/31/2073,6.846,0.54
12/31/2074,6.874,0.41
12/31/2075,6.902,0.41
12/31/2076,6.93,0.41
12/31/2077,6.958,0.4
12/31/2078,6.986,0.4
12/31/2079,7.021,0.5
12/31/2080,7.057,0.51
12/31/2081,7.092,0.5
12/31/2082,7.128,0.51
12/31/2083,7.163,0.49
12/31/2084,7.178,0.21
12/31/2085,7.194,0.22
12/31/2086,7.209,0.21
12/31/2087,7.225,0.22
12/31/2088,7.24,0.21
12/31/2089,7.257,0.23
12/31/2090,7.274,0.23
12/31/2091,7.291,0.23
12/31/2092,7.308,0.23
12/31/2093,7.325,0.23
12/31/2094,7.367,0.57
12/31/2095,7.409,0.57
12/31/2096,7.451,0.57
12/31/2097,7.493,0.56
12/31/2098,7.535,0.56
12/31/2099,7.577,0.56
12/31/2100,7.619,0.55
