date, Births per 1000 People, Annual % Change
12/31/1950,24.268,
12/31/1951,24.211,-0.23
12/31/1952,24.155,-0.23
12/31/1953,24.099,-0.23
12/31/1954,24.043,-0.23
12/31/1955,23.987,-0.23
12/31/1956,23.93,-0.24
12/31/1957,23.874,-0.23
12/31/1958,23.818,-0.23
12/31/1959,23.257,-2.36
12/31/1960,22.696,-2.41
12/31/1961,22.134,-2.48
12/31/1962,21.573,-2.53
12/31/1963,21.012,-2.6
12/31/1964,20.336,-3.22
12/31/1965,19.66,-3.32
12/31/1966,18.984,-3.44
12/31/1967,18.308,-3.56
12/31/1968,17.632,-3.69
12/31/1969,17.232,-2.27
12/31/1970,16.832,-2.32
12/31/1971,16.431,-2.38
12/31/1972,16.031,-2.43
12/31/1973,15.631,-2.5
12/31/1974,15.456,-1.12
12/31/1975,15.281,-1.13
12/31/1976,15.106,-1.15
12/31/1977,14.931,-1.16
12/31/1978,14.756,-1.17
12/31/1979,14.871,0.78
12/31/1980,14.986,0.77
12/31/1981,15.102,0.77
12/31/1982,15.217,0.76
12/31/1983,15.332,0.76
12/31/1984,15.396,0.42
12/31/1985,15.461,0.42
12/31/1986,15.525,0.41
12/31/1987,15.59,0.42
12/31/1988,15.654,0.41
12/31/1989,15.613,-0.26
12/31/1990,15.573,-0.26
12/31/1991,15.532,-0.26
12/31/1992,15.492,-0.26
12/31/1993,15.451,-0.26
12/31/1994,15.217,-1.51
12/31/1995,14.983,-1.54
12/31/1996,14.75,-1.56
12/31/1997,14.516,-1.59
12/31/1998,14.282,-1.61
12/31/1999,14.232,-0.35
12/31/2000,14.182,-0.35
12/31/2001,14.133,-0.35
12/31/2002,14.083,-0.35
12/31/2003,14.033,-0.36
12/31/2004,13.989,-0.31
12/31/2005,13.945,-0.31
12/31/2006,13.9,-0.32
12/31/2007,13.856,-0.32
12/31/2008,13.812,-0.32
12/31/2009,13.558,-1.84
12/31/2010,13.305,-1.87
12/31/2011,13.051,-1.91
12/31/2012,12.798,-1.94
12/31/2013,12.544,-1.98
12/31/2014,12.429,-0.92
12/31/2015,12.314,-0.93
12/31/2016,12.198,-0.94
12/31/2017,12.083,-0.94
12/31/2018,11.968,-0.95
12/31/2019,11.979,0.09
12/31/2020,11.99,0.09
12/31/2021,12.001,0.09
12/31/2022,12.012,0.09
12/31/2023,12.023,0.09
12/31/2024,12.009,-0.12
12/31/2025,11.994,-0.12
12/31/2026,11.98,-0.12
12/31/2027,11.965,-0.13
12/31/2028,11.951,-0.12
12/31/2029,11.895,-0.47
12/31/2030,11.84,-0.46
12/31/2031,11.784,-0.47
12/31/2032,11.729,-0.47
12/31/2033,11.673,-0.48
12/31/2034,11.614,-0.51
12/31/2035,11.555,-0.51
12/31/2036,11.497,-0.5
12/31/2037,11.438,-0.51
12/31/2038,11.379,-0.52
12/31/2039,11.324,-0.48
12/31/2040,11.269,-0.49
12/31/2041,11.213,-0.5
12/31/2042,11.158,-0.49
12/31/2043,11.103,-0.49
12/31/2044,11.065,-0.34
12/31/2045,11.028,-0.33
12/31/2046,10.99,-0.34
12/31/2047,10.953,-0.34
12/31/2048,10.915,-0.35
12/31/2049,10.904,-0.1
12/31/2050,10.892,-0.11
12/31/2051,10.881,-0.1
12/31/2052,10.869,-0.11
12/31/2053,10.858,-0.1
12/31/2054,10.859,0.01
12/31/2055,10.86,0.01
12/31/2056,10.861,0.01
12/31/2057,10.862,0.01
12/31/2058,10.863,0.01
12/31/2059,10.852,-0.1
12/31/2060,10.841,-0.1
12/31/2061,10.831,-0.09
12/31/2062,10.82,-0.1
12/31/2063,10.809,-0.1
12/31/2064,10.784,-0.23
12/31/2065,10.759,-0.23
12/31/2066,10.734,-0.23
12/31/2067,10.709,-0.23
12/31/2068,10.684,-0.23
12/31/2069,10.653,-0.29
12/31/2070,10.621,-0.3
12/31/2071,10.59,-0.29
12/31/2072,10.558,-0.3
12/31/2073,10.527,-0.29
12/31/2074,10.506,-0.2
12/31/2075,10.484,-0.21
12/31/2076,10.463,-0.2
12/31/2077,10.441,-0.21
12/31/2078,10.42,-0.2
12/31/2079,10.413,-0.07
12/31/2080,10.405,-0.08
12/31/2081,10.398,-0.07
12/31/2082,10.39,-0.08
12/31/2083,10.383,-0.07
12/31/2084,10.381,-0.02
12/31/2085,10.378,-0.03
12/31/2086,10.376,-0.02
12/31/2087,10.373,-0.03
12/31/2088,10.371,-0.02
12/31/2089,10.367,-0.04
12/31/2090,10.363,-0.04
12/31/2091,10.36,-0.03
12/31/2092,10.356,-0.04
12/31/2093,10.352,-0.04
12/31/2094,10.342,-0.1
12/31/2095,10.331,-0.11
12/31/2096,10.321,-0.1
12/31/2097,10.31,-0.11
12/31/2098,10.3,-0.1
12/31/2099,10.29,-0.1
12/31/2100,10.279,-0.11
