date, Deaths per 1000 People, Annual % Change
1950-12-31,27.916
1951-12-31,27.883,-0.12
1952-12-31,27.851,-0.11
1953-12-31,27.819,-0.11
1954-12-31,27.787,-0.12
1955-12-31,27.755,-0.12
1956-12-31,27.722,-0.12
1957-12-31,27.69,-0.12
1958-12-31,27.658,-0.12
1959-12-31,27.402,-0.93
1960-12-31,27.147,-0.93
1961-12-31,26.891,-0.94
1962-12-31,26.636,-0.95
1963-12-31,26.38,-0.96
1964-12-31,26.165,-0.82
1965-12-31,25.95,-0.82
1966-12-31,25.734,-0.83
1967-12-31,25.519,-0.84
1968-12-31,25.304,-0.84
1969-12-31,24.722,-2.3
1970-12-31,24.14,-2.35
1971-12-31,23.559,-2.41
1972-12-31,22.977,-2.47
1973-12-31,22.395,-2.53
1974-12-31,22.116,-1.25
1975-12-31,21.837,-1.26
1976-12-31,21.557,-1.28
1977-12-31,21.278,-1.29
1978-12-31,20.999,-1.31
1979-12-31,20.817,-0.87
1980-12-31,20.635,-0.87
1981-12-31,20.452,-0.89
1982-12-31,20.27,-0.89
1983-12-31,20.088,-0.9
1984-12-31,19.992,-0.48
1985-12-31,19.896,-0.48
1986-12-31,19.8,-0.48
1987-12-31,19.704,-0.48
1988-12-31,19.608,-0.49
1989-12-31,19.58,-0.14
1990-12-31,19.553,-0.14
1991-12-31,19.525,-0.14
1992-12-31,19.498,-0.14
1993-12-31,19.47,-0.14
1994-12-31,19.341,-0.66
1995-12-31,19.211,-0.67
1996-12-31,19.082,-0.67
1997-12-31,18.952,-0.68
1998-12-31,18.823,-0.68
1999-12-31,18.424,-2.12
2000-12-31,18.025,-2.17
2001-12-31,17.626,-2.21
2002-12-31,17.227,-2.26
2003-12-31,16.828,-2.32
2004-12-31,16.153,-4.01
2005-12-31,15.477,-4.18
2006-12-31,14.802,-4.36
2007-12-31,14.126,-4.57
2008-12-31,13.451,-4.78
2009-12-31,12.79,-4.91
2010-12-31,12.129,-5.17
2011-12-31,11.468,-5.45
2012-12-31,10.807,-5.76
2013-12-31,10.146,-6.12
2014-12-31,9.783,-3.58
2015-12-31,9.42,-3.71
2016-12-31,9.058,-3.84
2017-12-31,8.695,-4.01
2018-12-31,8.332,-4.17
2019-12-31,8.155,-2.12
2020-12-31,7.978,-2.17
2021-12-31,7.801,-2.22
2022-12-31,7.624,-2.27
2023-12-31,7.447,-2.32
2024-12-31,7.309,-1.85
2025-12-31,7.172,-1.87
2026-12-31,7.034,-1.92
2027-12-31,6.897,-1.95
2028-12-31,6.759,-2
2029-12-31,6.658,-1.49
2030-12-31,6.557,-1.52
2031-12-31,6.456,-1.54
2032-12-31,6.355,-1.56
2033-12-31,6.254,-1.59
2034-12-31,6.178,-1.22
2035-12-31,6.102,-1.23
2036-12-31,6.025,-1.26
2037-12-31,5.949,-1.26
2038-12-31,5.873,-1.28
2039-12-31,5.823,-0.85
2040-12-31,5.773,-0.86
2041-12-31,5.722,-0.88
2042-12-31,5.672,-0.87
2043-12-31,5.622,-0.88
2044-12-31,5.591,-0.55
2045-12-31,5.559,-0.57
2046-12-31,5.528,-0.56
2047-12-31,5.496,-0.58
2048-12-31,5.465,-0.56
2049-12-31,5.45,-0.27
2050-12-31,5.436,-0.26
2051-12-31,5.421,-0.28
2052-12-31,5.407,-0.26
2053-12-31,5.392,-0.28
2054-12-31,5.392,0
2055-12-31,5.392,0
2056-12-31,5.392,0
2057-12-31,5.392,0
2058-12-31,5.392,0
2059-12-31,5.403,0.2
2060-12-31,5.414,0.2
2061-12-31,5.426,0.22
2062-12-31,5.437,0.2
2063-12-31,5.448,0.2
2064-12-31,5.469,0.39
2065-12-31,5.489,0.37
2066-12-31,5.51,0.38
2067-12-31,5.53,0.36
2068-12-31,5.551,0.38
2069-12-31,5.579,0.5
2070-12-31,5.607,0.5
2071-12-31,5.636,0.52
2072-12-31,5.664,0.5
2073-12-31,5.692,0.49
2074-12-31,5.727,0.61
2075-12-31,5.761,0.59
2076-12-31,5.796,0.61
2077-12-31,5.83,0.59
2078-12-31,5.865,0.6
2079-12-31,5.908,0.73
2080-12-31,5.951,0.73
2081-12-31,5.994,0.72
2082-12-31,6.037,0.72
2083-12-31,6.08,0.71
2084-12-31,6.125,0.74
2085-12-31,6.17,0.73
2086-12-31,6.215,0.73
2087-12-31,6.26,0.72
2088-12-31,6.305,0.72
2089-12-31,6.351,0.73
2090-12-31,6.398,0.74
2091-12-31,6.444,0.72
2092-12-31,6.491,0.73
2093-12-31,6.537,0.71
2094-12-31,6.581,0.67
2095-12-31,6.625,0.67
2096-12-31,6.669,0.66
2097-12-31,6.713,0.66
2098-12-31,6.757,0.66
2099-12-31,6.801,0.65
2100-12-31,6.845,0.65
