date, Deaths per 1000 People, Annual % Change
1950-12-31,26.668
1951-12-31,26.038,-2.36
1952-12-31,25.409,-2.42
1953-12-31,24.78,-2.48
1954-12-31,24.151,-2.54
1955-12-31,23.522,-2.6
1956-12-31,22.892,-2.68
1957-12-31,22.263,-2.75
1958-12-31,21.634,-2.83
1959-12-31,21.165,-2.17
1960-12-31,20.695,-2.22
1961-12-31,20.226,-2.27
1962-12-31,19.756,-2.32
1963-12-31,19.287,-2.37
1964-12-31,18.981,-1.59
1965-12-31,18.675,-1.61
1966-12-31,18.368,-1.64
1967-12-31,18.062,-1.67
1968-12-31,17.756,-1.69
1969-12-31,18.172,2.34
1970-12-31,18.588,2.29
1971-12-31,19.005,2.24
1972-12-31,19.421,2.19
1973-12-31,19.837,2.14
1974-12-31,18.971,-4.37
1975-12-31,18.104,-4.57
1976-12-31,17.238,-4.78
1977-12-31,16.371,-5.03
1978-12-31,15.505,-5.29
1979-12-31,15.136,-2.38
1980-12-31,14.768,-2.43
1981-12-31,14.399,-2.5
1982-12-31,14.031,-2.56
1983-12-31,13.662,-2.63
1984-12-31,13.213,-3.29
1985-12-31,12.763,-3.41
1986-12-31,12.314,-3.52
1987-12-31,11.864,-3.65
1988-12-31,11.415,-3.78
1989-12-31,11.001,-3.63
1990-12-31,10.586,-3.77
1991-12-31,10.172,-3.91
1992-12-31,9.757,-4.08
1993-12-31,9.343,-4.24
1994-12-31,8.959,-4.11
1995-12-31,8.575,-4.29
1996-12-31,8.19,-4.49
1997-12-31,7.806,-4.69
1998-12-31,7.422,-4.92
1999-12-31,7.247,-2.36
2000-12-31,7.073,-2.4
2001-12-31,6.898,-2.47
2002-12-31,6.724,-2.52
2003-12-31,6.549,-2.6
2004-12-31,6.429,-1.83
2005-12-31,6.309,-1.87
2006-12-31,6.19,-1.89
2007-12-31,6.07,-1.94
2008-12-31,5.95,-1.98
2009-12-31,5.881,-1.16
2010-12-31,5.811,-1.19
2011-12-31,5.742,-1.19
2012-12-31,5.672,-1.22
2013-12-31,5.603,-1.22
2014-12-31,5.592,-0.2
2015-12-31,5.581,-0.2
2016-12-31,5.57,-0.2
2017-12-31,5.559,-0.2
2018-12-31,5.548,-0.2
2019-12-31,5.545,-0.05
2020-12-31,5.541,-0.07
2021-12-31,5.538,-0.05
2022-12-31,5.534,-0.07
2023-12-31,5.531,-0.05
2024-12-31,5.557,0.47
2025-12-31,5.583,0.47
2026-12-31,5.61,0.48
2027-12-31,5.636,0.46
2028-12-31,5.662,0.46
2029-12-31,5.72,1.02
2030-12-31,5.778,1.01
2031-12-31,5.836,1
2032-12-31,5.894,0.99
2033-12-31,5.952,0.98
2034-12-31,6.04,1.48
2035-12-31,6.129,1.47
2036-12-31,6.217,1.44
2037-12-31,6.306,1.43
2038-12-31,6.394,1.4
2039-12-31,6.513,1.86
2040-12-31,6.632,1.83
2041-12-31,6.751,1.79
2042-12-31,6.87,1.76
2043-12-31,6.989,1.73
2044-12-31,7.135,2.09
2045-12-31,7.281,2.05
2046-12-31,7.428,2.02
2047-12-31,7.574,1.97
2048-12-31,7.72,1.93
2049-12-31,7.88,2.07
2050-12-31,8.039,2.02
2051-12-31,8.199,1.99
2052-12-31,8.358,1.94
2053-12-31,8.518,1.91
2054-12-31,8.681,1.91
2055-12-31,8.845,1.89
2056-12-31,9.008,1.84
2057-12-31,9.172,1.82
2058-12-31,9.335,1.78
2059-12-31,9.503,1.8
2060-12-31,9.67,1.76
2061-12-31,9.838,1.74
2062-12-31,10.005,1.7
2063-12-31,10.173,1.68
2064-12-31,10.338,1.62
2065-12-31,10.502,1.59
2066-12-31,10.667,1.57
2067-12-31,10.831,1.54
2068-12-31,10.996,1.52
2069-12-31,11.157,1.46
2070-12-31,11.318,1.44
2071-12-31,11.478,1.41
2072-12-31,11.639,1.4
2073-12-31,11.8,1.38
2074-12-31,11.953,1.3
2075-12-31,12.106,1.28
2076-12-31,12.259,1.26
2077-12-31,12.412,1.25
2078-12-31,12.565,1.23
2079-12-31,12.71,1.15
2080-12-31,12.854,1.13
2081-12-31,12.999,1.13
2082-12-31,13.143,1.11
2083-12-31,13.288,1.1
2084-12-31,13.417,0.97
2085-12-31,13.546,0.96
2086-12-31,13.675,0.95
2087-12-31,13.804,0.94
2088-12-31,13.933,0.93
2089-12-31,14.037,0.75
2090-12-31,14.141,0.74
2091-12-31,14.245,0.74
2092-12-31,14.349,0.73
2093-12-31,14.453,0.72
2094-12-31,14.531,0.54
2095-12-31,14.608,0.53
2096-12-31,14.686,0.53
2097-12-31,14.763,0.52
2098-12-31,14.841,0.53
2099-12-31,14.919,0.53
2100-12-31,14.996,0.52
