date, Deaths per 1000 People, Annual % Change
1950-12-31,37.069
1951-12-31,36.229,-2.27
1952-12-31,35.389,-2.32
1953-12-31,34.549,-2.37
1954-12-31,33.709,-2.43
1955-12-31,32.869,-2.49
1956-12-31,32.029,-2.56
1957-12-31,31.189,-2.62
1958-12-31,30.349,-2.69
1959-12-31,29.79,-1.84
1960-12-31,29.231,-1.88
1961-12-31,28.671,-1.92
1962-12-31,28.112,-1.95
1963-12-31,27.553,-1.99
1964-12-31,26.969,-2.12
1965-12-31,26.385,-2.17
1966-12-31,25.802,-2.21
1967-12-31,25.218,-2.26
1968-12-31,24.634,-2.32
1969-12-31,24.213,-1.71
1970-12-31,23.791,-1.74
1971-12-31,23.37,-1.77
1972-12-31,22.948,-1.81
1973-12-31,22.527,-1.83
1974-12-31,22.086,-1.96
1975-12-31,21.645,-2
1976-12-31,21.204,-2.04
1977-12-31,20.763,-2.08
1978-12-31,20.322,-2.12
1979-12-31,19.972,-1.72
1980-12-31,19.622,-1.75
1981-12-31,19.272,-1.78
1982-12-31,18.922,-1.82
1983-12-31,18.572,-1.85
1984-12-31,18.051,-2.81
1985-12-31,17.531,-2.88
1986-12-31,17.01,-2.97
1987-12-31,16.49,-3.06
1988-12-31,15.969,-3.16
1989-12-31,15.516,-2.84
1990-12-31,15.062,-2.93
1991-12-31,14.609,-3.01
1992-12-31,14.155,-3.11
1993-12-31,13.702,-3.2
1994-12-31,13.6,-0.74
1995-12-31,13.497,-0.76
1996-12-31,13.395,-0.76
1997-12-31,13.292,-0.77
1998-12-31,13.19,-0.77
1999-12-31,12.963,-1.72
2000-12-31,12.736,-1.75
2001-12-31,12.51,-1.77
2002-12-31,12.283,-1.81
2003-12-31,12.056,-1.85
2004-12-31,11.759,-2.46
2005-12-31,11.462,-2.53
2006-12-31,11.165,-2.59
2007-12-31,10.868,-2.66
2008-12-31,10.571,-2.73
2009-12-31,10.402,-1.6
2010-12-31,10.233,-1.62
2011-12-31,10.063,-1.66
2012-12-31,9.894,-1.68
2013-12-31,9.725,-1.71
2014-12-31,9.572,-1.57
2015-12-31,9.419,-1.6
2016-12-31,9.265,-1.63
2017-12-31,9.112,-1.65
2018-12-31,8.959,-1.68
2019-12-31,8.809,-1.67
2020-12-31,8.659,-1.7
2021-12-31,8.508,-1.74
2022-12-31,8.358,-1.76
2023-12-31,8.208,-1.79
2024-12-31,8.096,-1.36
2025-12-31,7.984,-1.38
2026-12-31,7.873,-1.39
2027-12-31,7.761,-1.42
2028-12-31,7.649,-1.44
2029-12-31,7.568,-1.06
2030-12-31,7.487,-1.07
2031-12-31,7.406,-1.08
2032-12-31,7.325,-1.09
2033-12-31,7.244,-1.11
2034-12-31,7.189,-0.76
2035-12-31,7.133,-0.78
2036-12-31,7.078,-0.77
2037-12-31,7.022,-0.79
2038-12-31,6.967,-0.78
2039-12-31,6.934,-0.47
2040-12-31,6.901,-0.48
2041-12-31,6.868,-0.48
2042-12-31,6.835,-0.48
2043-12-31,6.802,-0.48
2044-12-31,6.782,-0.29
2045-12-31,6.763,-0.28
2046-12-31,6.743,-0.3
2047-12-31,6.724,-0.28
2048-12-31,6.704,-0.3
2049-12-31,6.701,-0.04
2050-12-31,6.699,-0.03
2051-12-31,6.696,-0.04
2052-12-31,6.694,-0.03
2053-12-31,6.691,-0.04
2054-12-31,6.701,0.15
2055-12-31,6.71,0.13
2056-12-31,6.72,0.15
2057-12-31,6.729,0.13
2058-12-31,6.739,0.15
2059-12-31,6.76,0.31
2060-12-31,6.781,0.31
2061-12-31,6.801,0.29
2062-12-31,6.822,0.31
2063-12-31,6.843,0.31
2064-12-31,6.871,0.41
2065-12-31,6.899,0.41
2066-12-31,6.927,0.41
2067-12-31,6.955,0.4
2068-12-31,6.983,0.4
2069-12-31,7.019,0.52
2070-12-31,7.055,0.51
2071-12-31,7.092,0.52
2072-12-31,7.128,0.51
2073-12-31,7.164,0.51
2074-12-31,7.206,0.59
2075-12-31,7.247,0.57
2076-12-31,7.289,0.58
2077-12-31,7.33,0.56
2078-12-31,7.372,0.57
2079-12-31,7.417,0.61
2080-12-31,7.463,0.62
2081-12-31,7.508,0.6
2082-12-31,7.554,0.61
2083-12-31,7.599,0.6
2084-12-31,7.645,0.61
2085-12-31,7.691,0.6
2086-12-31,7.736,0.59
2087-12-31,7.782,0.59
2088-12-31,7.828,0.59
2089-12-31,7.873,0.57
2090-12-31,7.918,0.57
2091-12-31,7.964,0.58
2092-12-31,8.009,0.57
2093-12-31,8.054,0.56
2094-12-31,8.099,0.56
2095-12-31,8.144,0.56
2096-12-31,8.189,0.55
2097-12-31,8.234,0.55
2098-12-31,8.279,0.55
2099-12-31,8.324,0.54
2100-12-31,8.369,0.54
