Macrotrends Data Download

Japan Death Rate 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Deaths per 1000 People, Annual % Change
1950-12-31,9.866
1951-12-31,9.612,-2.57
1952-12-31,9.357,-2.65
1953-12-31,9.102,-2.73
1954-12-31,8.847,-2.8
1955-12-31,8.592,-2.88
1956-12-31,8.338,-2.96
1957-12-31,8.083,-3.06
1958-12-31,7.828,-3.15
1959-12-31,7.711,-1.49
1960-12-31,7.595,-1.5
1961-12-31,7.478,-1.54
1962-12-31,7.362,-1.55
1963-12-31,7.245,-1.59
1964-12-31,7.153,-1.27
1965-12-31,7.062,-1.27
1966-12-31,6.97,-1.3
1967-12-31,6.879,-1.31
1968-12-31,6.787,-1.34
1969-12-31,6.721,-0.97
1970-12-31,6.655,-0.98
1971-12-31,6.588,-1.01
1972-12-31,6.522,-1
1973-12-31,6.456,-1.01
1974-12-31,6.382,-1.15
1975-12-31,6.308,-1.16
1976-12-31,6.235,-1.16
1977-12-31,6.161,-1.19
1978-12-31,6.087,-1.2
1979-12-31,6.096,0.15
1980-12-31,6.105,0.15
1981-12-31,6.115,0.16
1982-12-31,6.124,0.15
1983-12-31,6.133,0.15
1984-12-31,6.173,0.65
1985-12-31,6.212,0.63
1986-12-31,6.252,0.64
1987-12-31,6.291,0.62
1988-12-31,6.331,0.64
1989-12-31,6.454,1.94
1990-12-31,6.577,1.91
1991-12-31,6.7,1.87
1992-12-31,6.823,1.84
1993-12-31,6.946,1.8
1994-12-31,7.045,1.43
1995-12-31,7.143,1.39
1996-12-31,7.242,1.39
1997-12-31,7.34,1.35
1998-12-31,7.439,1.35
1999-12-31,7.531,1.24
2000-12-31,7.622,1.21
2001-12-31,7.714,1.21
2002-12-31,7.805,1.18
2003-12-31,7.897,1.18
2004-12-31,8.072,2.22
2005-12-31,8.246,2.16
2006-12-31,8.421,2.12
2007-12-31,8.595,2.07
2008-12-31,8.77,2.04
2009-12-31,8.982,2.42
2010-12-31,9.193,2.35
2011-12-31,9.405,2.31
2012-12-31,9.616,2.24
2013-12-31,9.828,2.2
2014-12-31,9.948,1.22
2015-12-31,10.068,1.21
2016-12-31,10.187,1.18
2017-12-31,10.307,1.18
2018-12-31,10.427,1.16
2019-12-31,10.646,2.1
2020-12-31,10.865,2.06
2021-12-31,11.085,2.02
2022-12-31,11.304,1.98
2023-12-31,11.523,1.94
2024-12-31,11.731,1.81
2025-12-31,11.938,1.76
2026-12-31,12.146,1.74
2027-12-31,12.353,1.7
2028-12-31,12.561,1.68
2029-12-31,12.749,1.5
2030-12-31,12.937,1.47
2031-12-31,13.126,1.46
2032-12-31,13.314,1.43
2033-12-31,13.502,1.41
2034-12-31,13.654,1.13
2035-12-31,13.806,1.11
2036-12-31,13.957,1.09
2037-12-31,14.109,1.09
2038-12-31,14.261,1.08
2039-12-31,14.342,0.57
2040-12-31,14.423,0.56
2041-12-31,14.503,0.55
2042-12-31,14.584,0.56
2043-12-31,14.665,0.56
2044-12-31,14.675,0.07
2045-12-31,14.684,0.06
2046-12-31,14.694,0.07
2047-12-31,14.703,0.06
2048-12-31,14.713,0.07
2049-12-31,14.713,0
2050-12-31,14.714,0.01
2051-12-31,14.714,0
2052-12-31,14.715,0.01
2053-12-31,14.715,0
2054-12-31,14.808,0.63
2055-12-31,14.901,0.63
2056-12-31,14.993,0.62
2057-12-31,15.086,0.62
2058-12-31,15.179,0.62
2059-12-31,15.323,0.95
2060-12-31,15.467,0.94
2061-12-31,15.612,0.94
2062-12-31,15.756,0.92
2063-12-31,15.9,0.91
2064-12-31,15.992,0.58
2065-12-31,16.083,0.57
2066-12-31,16.175,0.57
2067-12-31,16.266,0.56
2068-12-31,16.358,0.57
2069-12-31,16.326,-0.2
2070-12-31,16.294,-0.2
2071-12-31,16.262,-0.2
2072-12-31,16.23,-0.2
2073-12-31,16.198,-0.2
2074-12-31,16.041,-0.97
2075-12-31,15.883,-0.98
2076-12-31,15.726,-0.99
2077-12-31,15.568,-1
2078-12-31,15.411,-1.01
2079-12-31,15.266,-0.94
2080-12-31,15.12,-0.96
2081-12-31,14.975,-0.96
2082-12-31,14.829,-0.97
2083-12-31,14.684,-0.98
2084-12-31,14.568,-0.79
2085-12-31,14.452,-0.8
2086-12-31,14.337,-0.8
2087-12-31,14.221,-0.81
2088-12-31,14.105,-0.82
2089-12-31,14.039,-0.47
2090-12-31,13.973,-0.47
2091-12-31,13.907,-0.47
2092-12-31,13.841,-0.47
2093-12-31,13.775,-0.48
2094-12-31,13.748,-0.2
2095-12-31,13.721,-0.2
2096-12-31,13.695,-0.19
2097-12-31,13.668,-0.2
2098-12-31,13.641,-0.2
2099-12-31,13.614,-0.2
2100-12-31,13.587,-0.2
