Macrotrends Data Download

Niger Death Rate 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Deaths per 1000 People, Annual % Change
1950-12-31,28.863
1951-12-31,28.866,0.01
1952-12-31,28.868,0.01
1953-12-31,28.871,0.01
1954-12-31,28.874,0.01
1955-12-31,28.876,0.01
1956-12-31,28.879,0.01
1957-12-31,28.881,0.01
1958-12-31,28.884,0.01
1959-12-31,28.878,-0.02
1960-12-31,28.873,-0.02
1961-12-31,28.867,-0.02
1962-12-31,28.862,-0.02
1963-12-31,28.856,-0.02
1964-12-31,28.824,-0.11
1965-12-31,28.793,-0.11
1966-12-31,28.761,-0.11
1967-12-31,28.73,-0.11
1968-12-31,28.698,-0.11
1969-12-31,28.565,-0.46
1970-12-31,28.433,-0.46
1971-12-31,28.3,-0.47
1972-12-31,28.168,-0.47
1973-12-31,28.035,-0.47
1974-12-31,27.812,-0.8
1975-12-31,27.59,-0.8
1976-12-31,27.367,-0.81
1977-12-31,27.145,-0.81
1978-12-31,26.922,-0.82
1979-12-31,26.569,-1.31
1980-12-31,26.216,-1.33
1981-12-31,25.864,-1.34
1982-12-31,25.511,-1.36
1983-12-31,25.158,-1.38
1984-12-31,24.923,-0.93
1985-12-31,24.688,-0.94
1986-12-31,24.454,-0.95
1987-12-31,24.219,-0.96
1988-12-31,23.984,-0.97
1989-12-31,23.522,-1.93
1990-12-31,23.06,-1.96
1991-12-31,22.598,-2
1992-12-31,22.136,-2.04
1993-12-31,21.674,-2.09
1994-12-31,21.064,-2.81
1995-12-31,20.453,-2.9
1996-12-31,19.843,-2.98
1997-12-31,19.232,-3.08
1998-12-31,18.622,-3.17
1999-12-31,18.066,-2.99
2000-12-31,17.51,-3.08
2001-12-31,16.954,-3.18
2002-12-31,16.398,-3.28
2003-12-31,15.842,-3.39
2004-12-31,15.229,-3.87
2005-12-31,14.617,-4.02
2006-12-31,14.004,-4.19
2007-12-31,13.392,-4.37
2008-12-31,12.779,-4.58
2009-12-31,12.25,-4.14
2010-12-31,11.721,-4.32
2011-12-31,11.192,-4.51
2012-12-31,10.663,-4.73
2013-12-31,10.134,-4.96
2014-12-31,9.789,-3.4
2015-12-31,9.443,-3.53
2016-12-31,9.098,-3.65
2017-12-31,8.752,-3.8
2018-12-31,8.407,-3.94
2019-12-31,8.199,-2.47
2020-12-31,7.991,-2.54
2021-12-31,7.782,-2.62
2022-12-31,7.574,-2.67
2023-12-31,7.366,-2.75
2024-12-31,7.191,-2.38
2025-12-31,7.017,-2.42
2026-12-31,6.842,-2.49
2027-12-31,6.668,-2.54
2028-12-31,6.493,-2.62
2029-12-31,6.351,-2.19
2030-12-31,6.209,-2.24
2031-12-31,6.066,-2.3
2032-12-31,5.924,-2.34
2033-12-31,5.782,-2.4
2034-12-31,5.671,-1.92
2035-12-31,5.56,-1.96
2036-12-31,5.449,-2
2037-12-31,5.338,-2.04
2038-12-31,5.227,-2.08
2039-12-31,5.144,-1.59
2040-12-31,5.062,-1.59
2041-12-31,4.979,-1.64
2042-12-31,4.897,-1.65
2043-12-31,4.814,-1.69
2044-12-31,4.756,-1.2
2045-12-31,4.699,-1.2
2046-12-31,4.641,-1.23
2047-12-31,4.584,-1.23
2048-12-31,4.526,-1.27
2049-12-31,4.493,-0.73
2050-12-31,4.461,-0.71
2051-12-31,4.428,-0.74
2052-12-31,4.396,-0.72
2053-12-31,4.363,-0.75
2054-12-31,4.352,-0.25
2055-12-31,4.341,-0.25
2056-12-31,4.329,-0.28
2057-12-31,4.318,-0.25
2058-12-31,4.307,-0.25
2059-12-31,4.315,0.19
2060-12-31,4.322,0.16
2061-12-31,4.33,0.19
2062-12-31,4.337,0.16
2063-12-31,4.345,0.18
2064-12-31,4.37,0.58
2065-12-31,4.396,0.59
2066-12-31,4.421,0.57
2067-12-31,4.447,0.59
2068-12-31,4.472,0.56
2069-12-31,4.511,0.87
2070-12-31,4.55,0.86
2071-12-31,4.589,0.86
2072-12-31,4.628,0.85
2073-12-31,4.667,0.84
2074-12-31,4.718,1.09
2075-12-31,4.768,1.06
2076-12-31,4.819,1.07
2077-12-31,4.869,1.04
2078-12-31,4.92,1.05
2079-12-31,4.979,1.2
2080-12-31,5.038,1.18
2081-12-31,5.096,1.15
2082-12-31,5.155,1.16
2083-12-31,5.214,1.14
2084-12-31,5.28,1.27
2085-12-31,5.346,1.25
2086-12-31,5.412,1.23
2087-12-31,5.478,1.22
2088-12-31,5.544,1.2
2089-12-31,5.615,1.28
2090-12-31,5.686,1.26
2091-12-31,5.756,1.23
2092-12-31,5.827,1.23
2093-12-31,5.898,1.22
2094-12-31,5.972,1.25
2095-12-31,6.046,1.24
2096-12-31,6.121,1.24
2097-12-31,6.195,1.21
2098-12-31,6.269,1.19
2099-12-31,6.343,1.18
2100-12-31,6.417,1.17
