Macrotrends Data Download

Angola Fertility Rate 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per Woman, Annual % Change
1950-12-31,5.7
1951-12-31,5.8,1.75
1952-12-31,5.9,1.72
1953-12-31,6,1.69
1954-12-31,6.1,1.67
1955-12-31,6.2,1.64
1956-12-31,6.3,1.61
1957-12-31,6.4,1.59
1958-12-31,6.5,1.56
1959-12-31,6.58,1.23
1960-12-31,6.66,1.22
1961-12-31,6.74,1.2
1962-12-31,6.82,1.19
1963-12-31,6.9,1.17
1964-12-31,6.98,1.16
1965-12-31,7.06,1.15
1966-12-31,7.14,1.13
1967-12-31,7.22,1.12
1968-12-31,7.3,1.11
1969-12-31,7.34,0.55
1970-12-31,7.38,0.54
1971-12-31,7.42,0.54
1972-12-31,7.46,0.54
1973-12-31,7.5,0.54
1974-12-31,7.491,-0.12
1975-12-31,7.482,-0.12
1976-12-31,7.474,-0.11
1977-12-31,7.465,-0.12
1978-12-31,7.456,-0.12
1979-12-31,7.456,0
1980-12-31,7.456,0
1981-12-31,7.456,0
1982-12-31,7.456,0
1983-12-31,7.456,0
1984-12-31,7.445,-0.15
1985-12-31,7.434,-0.15
1986-12-31,7.422,-0.16
1987-12-31,7.411,-0.15
1988-12-31,7.4,-0.15
1989-12-31,7.34,-0.81
1990-12-31,7.28,-0.82
1991-12-31,7.22,-0.82
1992-12-31,7.16,-0.83
1993-12-31,7.1,-0.84
1994-12-31,7.03,-0.99
1995-12-31,6.96,-1
1996-12-31,6.89,-1.01
1997-12-31,6.82,-1.02
1998-12-31,6.75,-1.03
1999-12-31,6.71,-0.59
2000-12-31,6.67,-0.6
2001-12-31,6.63,-0.6
2002-12-31,6.59,-0.6
2003-12-31,6.55,-0.61
2004-12-31,6.51,-0.61
2005-12-31,6.47,-0.61
2006-12-31,6.43,-0.62
2007-12-31,6.39,-0.62
2008-12-31,6.35,-0.63
2009-12-31,6.28,-1.1
2010-12-31,6.21,-1.11
2011-12-31,6.14,-1.13
2012-12-31,6.07,-1.14
2013-12-31,6,-1.15
2014-12-31,5.91,-1.5
2015-12-31,5.82,-1.52
2016-12-31,5.73,-1.55
2017-12-31,5.64,-1.57
2018-12-31,5.55,-1.6
2019-12-31,5.483,-1.21
2020-12-31,5.415,-1.24
2021-12-31,5.348,-1.24
2022-12-31,5.28,-1.27
2023-12-31,5.213,-1.27
2024-12-31,5.151,-1.19
2025-12-31,5.089,-1.2
2026-12-31,5.028,-1.2
2027-12-31,4.966,-1.23
2028-12-31,4.904,-1.25
2029-12-31,4.846,-1.18
2030-12-31,4.789,-1.18
2031-12-31,4.731,-1.21
2032-12-31,4.674,-1.2
2033-12-31,4.616,-1.24
2034-12-31,4.561,-1.19
2035-12-31,4.506,-1.21
2036-12-31,4.452,-1.2
2037-12-31,4.397,-1.24
2038-12-31,4.342,-1.25
2039-12-31,4.295,-1.08
2040-12-31,4.248,-1.09
2041-12-31,4.2,-1.13
2042-12-31,4.153,-1.12
2043-12-31,4.106,-1.13
2044-12-31,4.061,-1.1
2045-12-31,4.016,-1.11
2046-12-31,3.972,-1.1
2047-12-31,3.927,-1.13
2048-12-31,3.882,-1.15
2049-12-31,3.842,-1.03
2050-12-31,3.803,-1.02
2051-12-31,3.763,-1.05
2052-12-31,3.724,-1.04
2053-12-31,3.684,-1.07
2054-12-31,3.649,-0.95
2055-12-31,3.614,-0.96
2056-12-31,3.578,-1
2057-12-31,3.543,-0.98
2058-12-31,3.508,-0.99
2059-12-31,3.477,-0.88
2060-12-31,3.445,-0.92
2061-12-31,3.414,-0.9
2062-12-31,3.382,-0.94
2063-12-31,3.351,-0.92
2064-12-31,3.322,-0.87
2065-12-31,3.292,-0.9
2066-12-31,3.263,-0.88
2067-12-31,3.233,-0.92
2068-12-31,3.204,-0.9
2069-12-31,3.179,-0.78
2070-12-31,3.153,-0.82
2071-12-31,3.128,-0.79
2072-12-31,3.102,-0.83
2073-12-31,3.077,-0.81
2074-12-31,3.053,-0.78
2075-12-31,3.029,-0.79
2076-12-31,3.006,-0.76
2077-12-31,2.982,-0.8
2078-12-31,2.958,-0.8
2079-12-31,2.936,-0.74
2080-12-31,2.913,-0.78
2081-12-31,2.891,-0.76
2082-12-31,2.868,-0.8
2083-12-31,2.846,-0.77
2084-12-31,2.828,-0.63
2085-12-31,2.81,-0.64
2086-12-31,2.792,-0.64
2087-12-31,2.774,-0.64
2088-12-31,2.756,-0.65
2089-12-31,2.738,-0.65
2090-12-31,2.72,-0.66
2091-12-31,2.703,-0.63
2092-12-31,2.685,-0.67
2093-12-31,2.667,-0.67
2094-12-31,2.649,-0.67
2095-12-31,2.631,-0.68
2096-12-31,2.613,-0.68
2097-12-31,2.595,-0.69
2098-12-31,2.577,-0.69
2099-12-31,2.559,-0.7
2100-12-31,2.541,-0.7
