date, Births per Woman, Annual % Change
1950-12-31,6.201
1951-12-31,6.254,0.85
1952-12-31,6.306,0.83
1953-12-31,6.359,0.84
1954-12-31,6.412,0.83
1955-12-31,6.464,0.81
1956-12-31,6.517,0.82
1957-12-31,6.569,0.8
1958-12-31,6.622,0.81
1959-12-31,6.658,0.54
1960-12-31,6.695,0.56
1961-12-31,6.731,0.54
1962-12-31,6.768,0.55
1963-12-31,6.804,0.53
1964-12-31,6.827,0.34
1965-12-31,6.851,0.35
1966-12-31,6.874,0.34
1967-12-31,6.898,0.35
1968-12-31,6.921,0.33
1969-12-31,6.919,-0.03
1970-12-31,6.917,-0.03
1971-12-31,6.914,-0.04
1972-12-31,6.912,-0.03
1973-12-31,6.91,-0.03
1974-12-31,6.854,-0.81
1975-12-31,6.798,-0.82
1976-12-31,6.742,-0.82
1977-12-31,6.686,-0.83
1978-12-31,6.63,-0.84
1979-12-31,6.499,-1.98
1980-12-31,6.369,-2
1981-12-31,6.238,-2.06
1982-12-31,6.108,-2.08
1983-12-31,5.977,-2.14
1984-12-31,5.778,-3.33
1985-12-31,5.579,-3.44
1986-12-31,5.381,-3.55
1987-12-31,5.182,-3.7
1988-12-31,4.983,-3.84
1989-12-31,4.799,-3.69
1990-12-31,4.614,-3.85
1991-12-31,4.43,-3.99
1992-12-31,4.245,-4.18
1993-12-31,4.061,-4.33
1994-12-31,3.935,-3.1
1995-12-31,3.809,-3.2
1996-12-31,3.684,-3.28
1997-12-31,3.558,-3.42
1998-12-31,3.432,-3.54
1999-12-31,3.333,-2.88
2000-12-31,3.234,-2.97
2001-12-31,3.134,-3.09
2002-12-31,3.035,-3.16
2003-12-31,2.936,-3.26
2004-12-31,2.845,-3.1
2005-12-31,2.754,-3.2
2006-12-31,2.664,-3.27
2007-12-31,2.573,-3.42
2008-12-31,2.482,-3.54
2009-12-31,2.428,-2.18
2010-12-31,2.374,-2.22
2011-12-31,2.32,-2.27
2012-12-31,2.266,-2.33
2013-12-31,2.212,-2.38
2014-12-31,2.18,-1.45
2015-12-31,2.148,-1.47
2016-12-31,2.116,-1.49
2017-12-31,2.084,-1.51
2018-12-31,2.052,-1.54
2019-12-31,2.028,-1.17
2020-12-31,2.003,-1.23
2021-12-31,1.979,-1.2
2022-12-31,1.954,-1.26
2023-12-31,1.93,-1.23
2024-12-31,1.908,-1.14
2025-12-31,1.887,-1.1
2026-12-31,1.865,-1.17
2027-12-31,1.844,-1.13
2028-12-31,1.822,-1.19
2029-12-31,1.806,-0.88
2030-12-31,1.79,-0.89
2031-12-31,1.773,-0.95
2032-12-31,1.757,-0.9
2033-12-31,1.741,-0.91
2034-12-31,1.728,-0.75
2035-12-31,1.716,-0.69
2036-12-31,1.703,-0.76
2037-12-31,1.691,-0.7
2038-12-31,1.678,-0.77
2039-12-31,1.67,-0.48
2040-12-31,1.662,-0.48
2041-12-31,1.655,-0.42
2042-12-31,1.647,-0.48
2043-12-31,1.639,-0.49
2044-12-31,1.636,-0.18
2045-12-31,1.633,-0.18
2046-12-31,1.631,-0.12
2047-12-31,1.628,-0.18
2048-12-31,1.625,-0.18
2049-12-31,1.624,-0.06
2050-12-31,1.623,-0.06
2051-12-31,1.621,-0.12
2052-12-31,1.62,-0.06
2053-12-31,1.619,-0.06
2054-12-31,1.619,0
2055-12-31,1.619,0
2056-12-31,1.62,0.06
2057-12-31,1.62,0
2058-12-31,1.62,0
2059-12-31,1.622,0.12
2060-12-31,1.623,0.06
2061-12-31,1.625,0.12
2062-12-31,1.626,0.06
2063-12-31,1.628,0.12
2064-12-31,1.63,0.12
2065-12-31,1.632,0.12
2066-12-31,1.633,0.06
2067-12-31,1.635,0.12
2068-12-31,1.637,0.12
2069-12-31,1.64,0.18
2070-12-31,1.642,0.12
2071-12-31,1.645,0.18
2072-12-31,1.647,0.12
2073-12-31,1.65,0.18
2074-12-31,1.652,0.12
2075-12-31,1.654,0.12
2076-12-31,1.656,0.12
2077-12-31,1.658,0.12
2078-12-31,1.66,0.12
2079-12-31,1.662,0.12
2080-12-31,1.664,0.12
2081-12-31,1.667,0.18
2082-12-31,1.669,0.12
2083-12-31,1.671,0.12
2084-12-31,1.673,0.12
2085-12-31,1.674,0.06
2086-12-31,1.676,0.12
2087-12-31,1.677,0.06
2088-12-31,1.679,0.12
2089-12-31,1.681,0.12
2090-12-31,1.683,0.12
2091-12-31,1.686,0.18
2092-12-31,1.688,0.12
2093-12-31,1.69,0.12
2094-12-31,1.692,0.12
2095-12-31,1.694,0.12
2096-12-31,1.695,0.06
2097-12-31,1.697,0.12
2098-12-31,1.699,0.12
2099-12-31,1.701,0.12
2100-12-31,1.703,0.12
