date, Births per Woman, Annual % Change
1950-12-31,5.691
1951-12-31,5.746,0.97
1952-12-31,5.802,0.97
1953-12-31,5.857,0.95
1954-12-31,5.912,0.94
1955-12-31,5.968,0.95
1956-12-31,6.023,0.92
1957-12-31,6.079,0.93
1958-12-31,6.134,0.9
1959-12-31,6.192,0.95
1960-12-31,6.25,0.94
1961-12-31,6.307,0.91
1962-12-31,6.365,0.92
1963-12-31,6.423,0.91
1964-12-31,6.468,0.7
1965-12-31,6.513,0.7
1966-12-31,6.559,0.71
1967-12-31,6.604,0.69
1968-12-31,6.649,0.68
1969-12-31,6.686,0.56
1970-12-31,6.723,0.55
1971-12-31,6.761,0.57
1972-12-31,6.798,0.55
1973-12-31,6.835,0.54
1974-12-31,6.867,0.47
1975-12-31,6.899,0.47
1976-12-31,6.931,0.46
1977-12-31,6.963,0.46
1978-12-31,6.995,0.46
1979-12-31,6.998,0.04
1980-12-31,7.001,0.04
1981-12-31,7.003,0.03
1982-12-31,7.006,0.04
1983-12-31,7.009,0.04
1984-12-31,6.984,-0.36
1985-12-31,6.958,-0.37
1986-12-31,6.933,-0.36
1987-12-31,6.907,-0.38
1988-12-31,6.882,-0.36
1989-12-31,6.818,-0.93
1990-12-31,6.754,-0.94
1991-12-31,6.691,-0.93
1992-12-31,6.627,-0.96
1993-12-31,6.563,-0.97
1994-12-31,6.482,-1.23
1995-12-31,6.401,-1.25
1996-12-31,6.319,-1.28
1997-12-31,6.238,-1.28
1998-12-31,6.157,-1.3
1999-12-31,6.082,-1.22
2000-12-31,6.008,-1.22
2001-12-31,5.933,-1.25
2002-12-31,5.859,-1.25
2003-12-31,5.784,-1.28
2004-12-31,5.726,-1
2005-12-31,5.668,-1.01
2006-12-31,5.611,-1.01
2007-12-31,5.553,-1.03
2008-12-31,5.495,-1.04
2009-12-31,5.44,-1
2010-12-31,5.385,-1.01
2011-12-31,5.33,-1.02
2012-12-31,5.275,-1.03
2013-12-31,5.22,-1.04
2014-12-31,5.149,-1.36
2015-12-31,5.079,-1.36
2016-12-31,5.008,-1.4
2017-12-31,4.938,-1.4
2018-12-31,4.867,-1.44
2019-12-31,4.802,-1.34
2020-12-31,4.737,-1.35
2021-12-31,4.673,-1.35
2022-12-31,4.608,-1.39
2023-12-31,4.543,-1.41
2024-12-31,4.486,-1.25
2025-12-31,4.429,-1.27
2026-12-31,4.373,-1.26
2027-12-31,4.316,-1.3
2028-12-31,4.259,-1.32
2029-12-31,4.207,-1.22
2030-12-31,4.156,-1.21
2031-12-31,4.104,-1.25
2032-12-31,4.053,-1.24
2033-12-31,4.001,-1.28
2034-12-31,3.954,-1.17
2035-12-31,3.907,-1.19
2036-12-31,3.861,-1.18
2037-12-31,3.814,-1.22
2038-12-31,3.767,-1.23
2039-12-31,3.725,-1.11
2040-12-31,3.683,-1.13
2041-12-31,3.641,-1.14
2042-12-31,3.599,-1.15
2043-12-31,3.557,-1.17
2044-12-31,3.52,-1.04
2045-12-31,3.483,-1.05
2046-12-31,3.446,-1.06
2047-12-31,3.409,-1.07
2048-12-31,3.372,-1.09
2049-12-31,3.34,-0.95
2050-12-31,3.308,-0.96
2051-12-31,3.275,-1
2052-12-31,3.243,-0.98
2053-12-31,3.211,-0.99
2054-12-31,3.183,-0.87
2055-12-31,3.155,-0.88
2056-12-31,3.128,-0.86
2057-12-31,3.1,-0.9
2058-12-31,3.072,-0.9
2059-12-31,3.046,-0.85
2060-12-31,3.02,-0.85
2061-12-31,2.994,-0.86
2062-12-31,2.968,-0.87
2063-12-31,2.942,-0.88
2064-12-31,2.92,-0.75
2065-12-31,2.898,-0.75
2066-12-31,2.875,-0.79
2067-12-31,2.853,-0.77
2068-12-31,2.831,-0.77
2069-12-31,2.81,-0.74
2070-12-31,2.789,-0.75
2071-12-31,2.768,-0.75
2072-12-31,2.747,-0.76
2073-12-31,2.726,-0.76
2074-12-31,2.706,-0.73
2075-12-31,2.686,-0.74
2076-12-31,2.665,-0.78
2077-12-31,2.645,-0.75
2078-12-31,2.625,-0.76
2079-12-31,2.608,-0.65
2080-12-31,2.591,-0.65
2081-12-31,2.574,-0.66
2082-12-31,2.557,-0.66
2083-12-31,2.54,-0.66
2084-12-31,2.524,-0.63
2085-12-31,2.507,-0.67
2086-12-31,2.491,-0.64
2087-12-31,2.474,-0.68
2088-12-31,2.458,-0.65
2089-12-31,2.442,-0.65
2090-12-31,2.426,-0.66
2091-12-31,2.409,-0.7
2092-12-31,2.393,-0.66
2093-12-31,2.377,-0.67
2094-12-31,2.361,-0.67
2095-12-31,2.345,-0.68
2096-12-31,2.33,-0.64
2097-12-31,2.314,-0.69
2098-12-31,2.298,-0.69
2099-12-31,2.282,-0.7
2100-12-31,2.266,-0.7
