Macrotrends Data Download

China Fertility Rate 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per Woman, Annual % Change
1950-12-31,6.488
1951-12-31,6.362,-1.94
1952-12-31,6.236,-1.98
1953-12-31,6.11,-2.02
1954-12-31,5.984,-2.06
1955-12-31,5.858,-2.11
1956-12-31,5.732,-2.15
1957-12-31,5.606,-2.2
1958-12-31,5.48,-2.25
1959-12-31,5.614,2.45
1960-12-31,5.748,2.39
1961-12-31,5.882,2.33
1962-12-31,6.016,2.28
1963-12-31,6.15,2.23
1964-12-31,6.18,0.49
1965-12-31,6.21,0.49
1966-12-31,6.24,0.48
1967-12-31,6.27,0.48
1968-12-31,6.3,0.48
1969-12-31,6.01,-4.6
1970-12-31,5.72,-4.83
1971-12-31,5.43,-5.07
1972-12-31,5.14,-5.34
1973-12-31,4.85,-5.64
1974-12-31,4.482,-7.59
1975-12-31,4.114,-8.21
1976-12-31,3.746,-8.95
1977-12-31,3.378,-9.82
1978-12-31,3.01,-10.89
1979-12-31,2.912,-3.26
1980-12-31,2.814,-3.37
1981-12-31,2.716,-3.48
1982-12-31,2.618,-3.61
1983-12-31,2.52,-3.74
1984-12-31,2.562,1.67
1985-12-31,2.604,1.64
1986-12-31,2.646,1.61
1987-12-31,2.688,1.59
1988-12-31,2.73,1.56
1989-12-31,2.55,-6.59
1990-12-31,2.37,-7.06
1991-12-31,2.19,-7.59
1992-12-31,2.01,-8.22
1993-12-31,1.83,-8.96
1994-12-31,1.788,-2.3
1995-12-31,1.746,-2.35
1996-12-31,1.704,-2.41
1997-12-31,1.662,-2.46
1998-12-31,1.62,-2.53
1999-12-31,1.618,-0.12
2000-12-31,1.616,-0.12
2001-12-31,1.614,-0.12
2002-12-31,1.612,-0.12
2003-12-31,1.61,-0.12
2004-12-31,1.612,0.12
2005-12-31,1.614,0.12
2006-12-31,1.616,0.12
2007-12-31,1.618,0.12
2008-12-31,1.62,0.12
2009-12-31,1.624,0.25
2010-12-31,1.628,0.25
2011-12-31,1.632,0.25
2012-12-31,1.636,0.25
2013-12-31,1.64,0.24
2014-12-31,1.65,0.61
2015-12-31,1.66,0.61
2016-12-31,1.67,0.6
2017-12-31,1.68,0.6
2018-12-31,1.69,0.6
2019-12-31,1.693,0.18
2020-12-31,1.696,0.18
2021-12-31,1.699,0.18
2022-12-31,1.702,0.18
2023-12-31,1.705,0.18
2024-12-31,1.707,0.12
2025-12-31,1.71,0.18
2026-12-31,1.712,0.12
2027-12-31,1.715,0.18
2028-12-31,1.717,0.12
2029-12-31,1.719,0.12
2030-12-31,1.721,0.12
2031-12-31,1.724,0.17
2032-12-31,1.726,0.12
2033-12-31,1.728,0.12
2034-12-31,1.729,0.06
2035-12-31,1.73,0.06
2036-12-31,1.732,0.12
2037-12-31,1.733,0.06
2038-12-31,1.734,0.06
2039-12-31,1.736,0.12
2040-12-31,1.737,0.06
2041-12-31,1.739,0.12
2042-12-31,1.74,0.06
2043-12-31,1.742,0.11
2044-12-31,1.743,0.06
2045-12-31,1.744,0.06
2046-12-31,1.745,0.06
2047-12-31,1.746,0.06
2048-12-31,1.747,0.06
2049-12-31,1.748,0.06
2050-12-31,1.749,0.06
2051-12-31,1.751,0.11
2052-12-31,1.752,0.06
2053-12-31,1.753,0.06
2054-12-31,1.754,0.06
2055-12-31,1.755,0.06
2056-12-31,1.755,0
2057-12-31,1.756,0.06
2058-12-31,1.757,0.06
2059-12-31,1.758,0.06
2060-12-31,1.759,0.06
2061-12-31,1.759,0
2062-12-31,1.76,0.06
2063-12-31,1.761,0.06
2064-12-31,1.762,0.06
2065-12-31,1.763,0.06
2066-12-31,1.763,0
2067-12-31,1.764,0.06
2068-12-31,1.765,0.06
2069-12-31,1.765,0
2070-12-31,1.765,0
2071-12-31,1.765,0
2072-12-31,1.765,0
2073-12-31,1.765,0
2074-12-31,1.765,0
2075-12-31,1.766,0.06
2076-12-31,1.766,0
2077-12-31,1.767,0.06
2078-12-31,1.767,0
2079-12-31,1.767,0
2080-12-31,1.767,0
2081-12-31,1.768,0.06
2082-12-31,1.768,0
2083-12-31,1.768,0
2084-12-31,1.768,0
2085-12-31,1.768,0
2086-12-31,1.769,0.06
2087-12-31,1.769,0
2088-12-31,1.769,0
2089-12-31,1.769,0
2090-12-31,1.77,0.06
2091-12-31,1.77,0
2092-12-31,1.771,0.06
2093-12-31,1.771,0
2094-12-31,1.771,0
2095-12-31,1.771,0
2096-12-31,1.772,0.06
2097-12-31,1.772,0
2098-12-31,1.772,0
2099-12-31,1.772,0
2100-12-31,1.772,0
