date, Births per Woman, Annual % Change
1950-12-31,6.75
1951-12-31,6.75,0
1952-12-31,6.75,0
1953-12-31,6.75,0
1954-12-31,6.75,0
1955-12-31,6.75,0
1956-12-31,6.75,0
1957-12-31,6.75,0
1958-12-31,6.75,0
1959-12-31,6.73,-0.3
1960-12-31,6.71,-0.3
1961-12-31,6.69,-0.3
1962-12-31,6.67,-0.3
1963-12-31,6.65,-0.3
1964-12-31,6.61,-0.6
1965-12-31,6.57,-0.61
1966-12-31,6.53,-0.61
1967-12-31,6.49,-0.61
1968-12-31,6.45,-0.62
1969-12-31,6.36,-1.4
1970-12-31,6.27,-1.42
1971-12-31,6.18,-1.44
1972-12-31,6.09,-1.46
1973-12-31,6,-1.48
1974-12-31,5.94,-1
1975-12-31,5.88,-1.01
1976-12-31,5.82,-1.02
1977-12-31,5.76,-1.03
1978-12-31,5.7,-1.04
1979-12-31,5.658,-0.74
1980-12-31,5.616,-0.74
1981-12-31,5.574,-0.75
1982-12-31,5.532,-0.75
1983-12-31,5.49,-0.76
1984-12-31,5.392,-1.79
1985-12-31,5.294,-1.82
1986-12-31,5.196,-1.85
1987-12-31,5.098,-1.89
1988-12-31,5,-1.92
1989-12-31,4.83,-3.4
1990-12-31,4.66,-3.52
1991-12-31,4.49,-3.65
1992-12-31,4.32,-3.79
1993-12-31,4.15,-3.94
1994-12-31,4.04,-2.65
1995-12-31,3.93,-2.72
1996-12-31,3.82,-2.8
1997-12-31,3.71,-2.88
1998-12-31,3.6,-2.96
1999-12-31,3.51,-2.5
2000-12-31,3.42,-2.56
2001-12-31,3.33,-2.63
2002-12-31,3.24,-2.7
2003-12-31,3.15,-2.78
2004-12-31,3.124,-0.83
2005-12-31,3.098,-0.83
2006-12-31,3.072,-0.84
2007-12-31,3.046,-0.85
2008-12-31,3.02,-0.85
2009-12-31,3.106,2.85
2010-12-31,3.192,2.77
2011-12-31,3.278,2.69
2012-12-31,3.364,2.62
2013-12-31,3.45,2.56
2014-12-31,3.426,-0.7
2015-12-31,3.402,-0.7
2016-12-31,3.378,-0.71
2017-12-31,3.354,-0.71
2018-12-31,3.33,-0.72
2019-12-31,3.29,-1.2
2020-12-31,3.25,-1.22
2021-12-31,3.211,-1.2
2022-12-31,3.171,-1.25
2023-12-31,3.131,-1.26
2024-12-31,3.097,-1.09
2025-12-31,3.063,-1.1
2026-12-31,3.03,-1.08
2027-12-31,2.996,-1.12
2028-12-31,2.962,-1.13
2029-12-31,2.934,-0.95
2030-12-31,2.907,-0.92
2031-12-31,2.879,-0.96
2032-12-31,2.852,-0.94
2033-12-31,2.824,-0.98
2034-12-31,2.799,-0.89
2035-12-31,2.774,-0.89
2036-12-31,2.75,-0.87
2037-12-31,2.725,-0.91
2038-12-31,2.7,-0.92
2039-12-31,2.678,-0.81
2040-12-31,2.657,-0.78
2041-12-31,2.635,-0.83
2042-12-31,2.614,-0.8
2043-12-31,2.592,-0.84
2044-12-31,2.573,-0.73
2045-12-31,2.554,-0.74
2046-12-31,2.536,-0.7
2047-12-31,2.517,-0.75
2048-12-31,2.498,-0.75
2049-12-31,2.48,-0.72
2050-12-31,2.462,-0.73
2051-12-31,2.443,-0.77
2052-12-31,2.425,-0.74
2053-12-31,2.407,-0.74
2054-12-31,2.39,-0.71
2055-12-31,2.374,-0.67
2056-12-31,2.357,-0.72
2057-12-31,2.341,-0.68
2058-12-31,2.324,-0.73
2059-12-31,2.309,-0.65
2060-12-31,2.294,-0.65
2061-12-31,2.279,-0.65
2062-12-31,2.264,-0.66
2063-12-31,2.249,-0.66
2064-12-31,2.235,-0.62
2065-12-31,2.221,-0.63
2066-12-31,2.208,-0.59
2067-12-31,2.194,-0.63
2068-12-31,2.18,-0.64
2069-12-31,2.167,-0.6
2070-12-31,2.154,-0.6
2071-12-31,2.14,-0.65
2072-12-31,2.127,-0.61
2073-12-31,2.114,-0.61
2074-12-31,2.103,-0.52
2075-12-31,2.092,-0.52
2076-12-31,2.081,-0.53
2077-12-31,2.07,-0.53
2078-12-31,2.059,-0.53
2079-12-31,2.05,-0.44
2080-12-31,2.04,-0.49
2081-12-31,2.031,-0.44
2082-12-31,2.021,-0.49
2083-12-31,2.012,-0.45
2084-12-31,2.004,-0.4
2085-12-31,1.995,-0.45
2086-12-31,1.987,-0.4
2087-12-31,1.978,-0.45
2088-12-31,1.97,-0.4
2089-12-31,1.963,-0.36
2090-12-31,1.956,-0.36
2091-12-31,1.948,-0.41
2092-12-31,1.941,-0.36
2093-12-31,1.934,-0.36
2094-12-31,1.928,-0.31
2095-12-31,1.923,-0.26
2096-12-31,1.917,-0.31
2097-12-31,1.912,-0.26
2098-12-31,1.906,-0.31
2099-12-31,1.9,-0.31
2100-12-31,1.895,-0.26
