Macrotrends Data Download

Italy Fertility Rate 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per Woman, Annual % Change
1950-12-31,2.394
1951-12-31,2.381,-0.54
1952-12-31,2.368,-0.55
1953-12-31,2.355,-0.55
1954-12-31,2.342,-0.55
1955-12-31,2.329,-0.56
1956-12-31,2.316,-0.56
1957-12-31,2.303,-0.56
1958-12-31,2.29,-0.56
1959-12-31,2.333,1.88
1960-12-31,2.376,1.84
1961-12-31,2.418,1.77
1962-12-31,2.461,1.78
1963-12-31,2.504,1.75
1964-12-31,2.503,-0.04
1965-12-31,2.502,-0.04
1966-12-31,2.501,-0.04
1967-12-31,2.5,-0.04
1968-12-31,2.499,-0.04
1969-12-31,2.464,-1.4
1970-12-31,2.429,-1.42
1971-12-31,2.393,-1.48
1972-12-31,2.358,-1.46
1973-12-31,2.323,-1.48
1974-12-31,2.236,-3.75
1975-12-31,2.148,-3.94
1976-12-31,2.061,-4.05
1977-12-31,1.973,-4.27
1978-12-31,1.886,-4.41
1979-12-31,1.814,-3.82
1980-12-31,1.742,-3.97
1981-12-31,1.669,-4.19
1982-12-31,1.597,-4.31
1983-12-31,1.525,-4.51
1984-12-31,1.49,-2.3
1985-12-31,1.455,-2.35
1986-12-31,1.42,-2.41
1987-12-31,1.385,-2.46
1988-12-31,1.35,-2.53
1989-12-31,1.334,-1.19
1990-12-31,1.319,-1.12
1991-12-31,1.303,-1.21
1992-12-31,1.288,-1.15
1993-12-31,1.272,-1.24
1994-12-31,1.262,-0.79
1995-12-31,1.253,-0.71
1996-12-31,1.243,-0.8
1997-12-31,1.234,-0.72
1998-12-31,1.224,-0.81
1999-12-31,1.242,1.47
2000-12-31,1.259,1.37
2001-12-31,1.277,1.43
2002-12-31,1.294,1.33
2003-12-31,1.312,1.39
2004-12-31,1.337,1.91
2005-12-31,1.362,1.87
2006-12-31,1.386,1.76
2007-12-31,1.411,1.8
2008-12-31,1.436,1.77
2009-12-31,1.433,-0.21
2010-12-31,1.43,-0.21
2011-12-31,1.427,-0.21
2012-12-31,1.424,-0.21
2013-12-31,1.421,-0.21
2014-12-31,1.403,-1.27
2015-12-31,1.385,-1.28
2016-12-31,1.366,-1.37
2017-12-31,1.348,-1.32
2018-12-31,1.33,-1.34
2019-12-31,1.323,-0.53
2020-12-31,1.316,-0.53
2021-12-31,1.31,-0.46
2022-12-31,1.303,-0.53
2023-12-31,1.296,-0.54
2024-12-31,1.302,0.46
2025-12-31,1.308,0.46
2026-12-31,1.313,0.38
2027-12-31,1.319,0.46
2028-12-31,1.325,0.45
2029-12-31,1.336,0.83
2030-12-31,1.346,0.75
2031-12-31,1.357,0.82
2032-12-31,1.367,0.74
2033-12-31,1.378,0.8
2034-12-31,1.387,0.65
2035-12-31,1.395,0.58
2036-12-31,1.404,0.65
2037-12-31,1.412,0.57
2038-12-31,1.421,0.64
2039-12-31,1.428,0.49
2040-12-31,1.435,0.49
2041-12-31,1.442,0.49
2042-12-31,1.449,0.49
2043-12-31,1.456,0.48
2044-12-31,1.462,0.41
2045-12-31,1.468,0.41
2046-12-31,1.475,0.48
2047-12-31,1.481,0.41
2048-12-31,1.487,0.41
2049-12-31,1.492,0.34
2050-12-31,1.497,0.34
2051-12-31,1.502,0.33
2052-12-31,1.507,0.33
2053-12-31,1.512,0.33
2054-12-31,1.516,0.26
2055-12-31,1.521,0.33
2056-12-31,1.525,0.26
2057-12-31,1.53,0.33
2058-12-31,1.534,0.26
2059-12-31,1.537,0.2
2060-12-31,1.541,0.26
2061-12-31,1.544,0.19
2062-12-31,1.548,0.26
2063-12-31,1.551,0.19
2064-12-31,1.554,0.19
2065-12-31,1.558,0.26
2066-12-31,1.561,0.19
2067-12-31,1.565,0.26
2068-12-31,1.568,0.19
2069-12-31,1.571,0.19
2070-12-31,1.574,0.19
2071-12-31,1.577,0.19
2072-12-31,1.58,0.19
2073-12-31,1.583,0.19
2074-12-31,1.585,0.13
2075-12-31,1.588,0.19
2076-12-31,1.59,0.13
2077-12-31,1.593,0.19
2078-12-31,1.595,0.13
2079-12-31,1.597,0.13
2080-12-31,1.599,0.13
2081-12-31,1.602,0.19
2082-12-31,1.604,0.12
2083-12-31,1.606,0.12
2084-12-31,1.608,0.12
2085-12-31,1.609,0.06
2086-12-31,1.611,0.12
2087-12-31,1.612,0.06
2088-12-31,1.614,0.12
2089-12-31,1.616,0.12
2090-12-31,1.617,0.06
2091-12-31,1.619,0.12
2092-12-31,1.62,0.06
2093-12-31,1.622,0.12
2094-12-31,1.624,0.12
2095-12-31,1.625,0.06
2096-12-31,1.627,0.12
2097-12-31,1.628,0.06
2098-12-31,1.63,0.12
2099-12-31,1.632,0.12
2100-12-31,1.633,0.06
