Macrotrends Data Download

Japan Fertility Rate 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Births per Woman, Annual % Change
1950-12-31,3.434
1951-12-31,3.276,-4.6
1952-12-31,3.118,-4.82
1953-12-31,2.96,-5.07
1954-12-31,2.802,-5.34
1955-12-31,2.644,-5.64
1956-12-31,2.486,-5.98
1957-12-31,2.328,-6.36
1958-12-31,2.17,-6.79
1959-12-31,2.142,-1.29
1960-12-31,2.114,-1.31
1961-12-31,2.086,-1.32
1962-12-31,2.058,-1.34
1963-12-31,2.03,-1.36
1964-12-31,2.032,0.1
1965-12-31,2.034,0.1
1966-12-31,2.036,0.1
1967-12-31,2.038,0.1
1968-12-31,2.04,0.1
1969-12-31,2.059,0.93
1970-12-31,2.078,0.92
1971-12-31,2.096,0.87
1972-12-31,2.115,0.91
1973-12-31,2.134,0.9
1974-12-31,2.073,-2.86
1975-12-31,2.013,-2.89
1976-12-31,1.952,-3.03
1977-12-31,1.892,-3.07
1978-12-31,1.831,-3.22
1979-12-31,1.817,-0.76
1980-12-31,1.803,-0.77
1981-12-31,1.79,-0.72
1982-12-31,1.776,-0.78
1983-12-31,1.762,-0.79
1984-12-31,1.74,-1.25
1985-12-31,1.717,-1.32
1986-12-31,1.695,-1.28
1987-12-31,1.672,-1.36
1988-12-31,1.65,-1.32
1989-12-31,1.615,-2.12
1990-12-31,1.58,-2.17
1991-12-31,1.546,-2.15
1992-12-31,1.511,-2.26
1993-12-31,1.476,-2.32
1994-12-31,1.455,-1.42
1995-12-31,1.433,-1.51
1996-12-31,1.412,-1.47
1997-12-31,1.39,-1.56
1998-12-31,1.369,-1.51
1999-12-31,1.355,-1.02
2000-12-31,1.341,-1.03
2001-12-31,1.326,-1.12
2002-12-31,1.312,-1.06
2003-12-31,1.298,-1.07
2004-12-31,1.306,0.62
2005-12-31,1.314,0.61
2006-12-31,1.323,0.68
2007-12-31,1.331,0.6
2008-12-31,1.339,0.6
2009-12-31,1.353,1.05
2010-12-31,1.367,1.03
2011-12-31,1.381,1.02
2012-12-31,1.395,1.01
2013-12-31,1.409,1
2014-12-31,1.401,-0.57
2015-12-31,1.393,-0.57
2016-12-31,1.386,-0.5
2017-12-31,1.378,-0.58
2018-12-31,1.37,-0.58
2019-12-31,1.369,-0.07
2020-12-31,1.369,0
2021-12-31,1.368,-0.07
2022-12-31,1.368,0
2023-12-31,1.367,-0.07
2024-12-31,1.374,0.51
2025-12-31,1.381,0.51
2026-12-31,1.387,0.43
2027-12-31,1.394,0.5
2028-12-31,1.401,0.5
2029-12-31,1.411,0.71
2030-12-31,1.421,0.71
2031-12-31,1.43,0.63
2032-12-31,1.44,0.7
2033-12-31,1.45,0.69
2034-12-31,1.457,0.48
2035-12-31,1.465,0.55
2036-12-31,1.472,0.48
2037-12-31,1.48,0.54
2038-12-31,1.487,0.47
2039-12-31,1.493,0.4
2040-12-31,1.499,0.4
2041-12-31,1.506,0.47
2042-12-31,1.512,0.4
2043-12-31,1.518,0.4
2044-12-31,1.523,0.33
2045-12-31,1.529,0.39
2046-12-31,1.534,0.33
2047-12-31,1.54,0.39
2048-12-31,1.545,0.32
2049-12-31,1.549,0.26
2050-12-31,1.554,0.32
2051-12-31,1.558,0.26
2052-12-31,1.563,0.32
2053-12-31,1.567,0.26
2054-12-31,1.571,0.26
2055-12-31,1.575,0.25
2056-12-31,1.579,0.25
2057-12-31,1.583,0.25
2058-12-31,1.587,0.25
2059-12-31,1.59,0.19
2060-12-31,1.593,0.19
2061-12-31,1.597,0.25
2062-12-31,1.6,0.19
2063-12-31,1.603,0.19
2064-12-31,1.606,0.19
2065-12-31,1.609,0.19
2066-12-31,1.611,0.12
2067-12-31,1.614,0.19
2068-12-31,1.617,0.19
2069-12-31,1.619,0.12
2070-12-31,1.622,0.19
2071-12-31,1.624,0.12
2072-12-31,1.627,0.18
2073-12-31,1.629,0.12
2074-12-31,1.631,0.12
2075-12-31,1.633,0.12
2076-12-31,1.635,0.12
2077-12-31,1.637,0.12
2078-12-31,1.639,0.12
2079-12-31,1.641,0.12
2080-12-31,1.643,0.12
2081-12-31,1.644,0.06
2082-12-31,1.646,0.12
2083-12-31,1.648,0.12
2084-12-31,1.65,0.12
2085-12-31,1.651,0.06
2086-12-31,1.653,0.12
2087-12-31,1.654,0.06
2088-12-31,1.656,0.12
2089-12-31,1.657,0.06
2090-12-31,1.659,0.12
2091-12-31,1.66,0.06
2092-12-31,1.662,0.12
2093-12-31,1.663,0.06
2094-12-31,1.664,0.06
2095-12-31,1.665,0.06
2096-12-31,1.667,0.12
2097-12-31,1.668,0.06
2098-12-31,1.669,0.06
2099-12-31,1.67,0.06
2100-12-31,1.671,0.06
