date, Births per Woman, Annual % Change
1950-12-31,5.246
1951-12-31,5.381,2.57
1952-12-31,5.517,2.53
1953-12-31,5.653,2.47
1954-12-31,5.789,2.41
1955-12-31,5.925,2.35
1956-12-31,6.06,2.28
1957-12-31,6.196,2.24
1958-12-31,6.332,2.19
1959-12-31,6.186,-2.31
1960-12-31,6.039,-2.38
1961-12-31,5.893,-2.42
1962-12-31,5.746,-2.49
1963-12-31,5.6,-2.54
1964-12-31,5.41,-3.39
1965-12-31,5.22,-3.51
1966-12-31,5.03,-3.64
1967-12-31,4.84,-3.78
1968-12-31,4.65,-3.93
1969-12-31,4.52,-2.8
1970-12-31,4.391,-2.85
1971-12-31,4.261,-2.96
1972-12-31,4.132,-3.03
1973-12-31,4.002,-3.15
1974-12-31,3.785,-5.42
1975-12-31,3.569,-5.71
1976-12-31,3.352,-6.08
1977-12-31,3.136,-6.44
1978-12-31,2.919,-6.92
1979-12-31,2.782,-4.69
1980-12-31,2.645,-4.92
1981-12-31,2.508,-5.18
1982-12-31,2.371,-5.46
1983-12-31,2.234,-5.78
1984-12-31,2.101,-5.95
1985-12-31,1.967,-6.38
1986-12-31,1.834,-6.76
1987-12-31,1.7,-7.31
1988-12-31,1.567,-7.82
1989-12-31,1.589,1.4
1990-12-31,1.611,1.38
1991-12-31,1.632,1.3
1992-12-31,1.654,1.35
1993-12-31,1.676,1.33
1994-12-31,1.641,-2.09
1995-12-31,1.606,-2.13
1996-12-31,1.57,-2.24
1997-12-31,1.535,-2.23
1998-12-31,1.5,-2.28
1999-12-31,1.443,-3.8
2000-12-31,1.386,-3.95
2001-12-31,1.328,-4.18
2002-12-31,1.271,-4.29
2003-12-31,1.214,-4.48
2004-12-31,1.206,-0.66
2005-12-31,1.198,-0.66
2006-12-31,1.189,-0.75
2007-12-31,1.181,-0.67
2008-12-31,1.173,-0.68
2009-12-31,1.185,1.02
2010-12-31,1.197,1.01
2011-12-31,1.209,1
2012-12-31,1.221,0.99
2013-12-31,1.233,0.98
2014-12-31,1.208,-2.03
2015-12-31,1.184,-1.99
2016-12-31,1.159,-2.11
2017-12-31,1.135,-2.07
2018-12-31,1.11,-2.2
2019-12-31,1.103,-0.63
2020-12-31,1.096,-0.63
2021-12-31,1.089,-0.64
2022-12-31,1.082,-0.64
2023-12-31,1.075,-0.65
2024-12-31,1.079,0.37
2025-12-31,1.083,0.37
2026-12-31,1.086,0.28
2027-12-31,1.09,0.37
2028-12-31,1.094,0.37
2029-12-31,1.111,1.55
2030-12-31,1.129,1.62
2031-12-31,1.146,1.51
2032-12-31,1.164,1.57
2033-12-31,1.181,1.46
2034-12-31,1.196,1.27
2035-12-31,1.21,1.17
2036-12-31,1.225,1.24
2037-12-31,1.239,1.14
2038-12-31,1.254,1.21
2039-12-31,1.268,1.12
2040-12-31,1.282,1.1
2041-12-31,1.295,1.01
2042-12-31,1.309,1.08
2043-12-31,1.323,1.07
2044-12-31,1.335,0.91
2045-12-31,1.348,0.97
2046-12-31,1.36,0.89
2047-12-31,1.373,0.96
2048-12-31,1.385,0.87
2049-12-31,1.395,0.72
2050-12-31,1.406,0.79
2051-12-31,1.416,0.71
2052-12-31,1.427,0.78
2053-12-31,1.437,0.7
2054-12-31,1.446,0.63
2055-12-31,1.455,0.62
2056-12-31,1.465,0.69
2057-12-31,1.474,0.61
2058-12-31,1.483,0.61
2059-12-31,1.491,0.54
2060-12-31,1.499,0.54
2061-12-31,1.506,0.47
2062-12-31,1.514,0.53
2063-12-31,1.522,0.53
2064-12-31,1.529,0.46
2065-12-31,1.535,0.39
2066-12-31,1.542,0.46
2067-12-31,1.548,0.39
2068-12-31,1.555,0.45
2069-12-31,1.561,0.39
2070-12-31,1.567,0.38
2071-12-31,1.573,0.38
2072-12-31,1.579,0.38
2073-12-31,1.585,0.38
2074-12-31,1.589,0.25
2075-12-31,1.593,0.25
2076-12-31,1.598,0.31
2077-12-31,1.602,0.25
2078-12-31,1.606,0.25
2079-12-31,1.61,0.25
2080-12-31,1.614,0.25
2081-12-31,1.619,0.31
2082-12-31,1.623,0.25
2083-12-31,1.627,0.25
2084-12-31,1.63,0.18
2085-12-31,1.633,0.18
2086-12-31,1.635,0.12
2087-12-31,1.638,0.18
2088-12-31,1.641,0.18
2089-12-31,1.644,0.18
2090-12-31,1.646,0.12
2091-12-31,1.649,0.18
2092-12-31,1.651,0.12
2093-12-31,1.654,0.18
2094-12-31,1.657,0.18
2095-12-31,1.66,0.18
2096-12-31,1.662,0.12
2097-12-31,1.665,0.18
2098-12-31,1.668,0.18
2099-12-31,1.671,0.18
2100-12-31,1.674,0.18
