Macrotrends Data Download

Angola GDP 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,0,0,0
1961-12-31,0,0,0
1962-12-31,0,0,0
1963-12-31,0,0,0
1964-12-31,0,0,0
1965-12-31,0,0,0
1966-12-31,0,0,0
1967-12-31,0,0,0
1968-12-31,0,0,0
1969-12-31,0,0,0
1970-12-31,0,0,0
1971-12-31,0,0,0
1972-12-31,0,0,0
1973-12-31,0,0,0
1974-12-31,0,0,0
1975-12-31,0,0,0
1976-12-31,0,0,0
1977-12-31,0,0,0
1978-12-31,0,0,0
1979-12-31,0,0,0
1980-12-31,5.9340736036789,712.3698,0
1981-12-31,5.5538244638796,643.44,-4.4
1982-12-31,5.5538244638796,620.7366,0
1983-12-31,5.7878238086957,623.9093,4.2
1984-12-31,6.1351662541806,637.9036,6
1985-12-31,7.5586130080268,758.0885,3.5
1986-12-31,7.0767938227425,684.9013,2.9
1987-12-31,8.0892792846154,756.4275,4.0827
1988-12-31,8.7751162692308,793.3914,6.1289
1989-12-31,10.207922517057,892.3401,0.0416
1990-12-31,11.236275842809,949.9214,-3.4501
1991-12-31,10.401188707281,850.5562,0.9914
1992-12-31,8.3078268473983,657.6546,-5.8383
1993-12-31,6.0846889358003,466.6792,-23.9834
1994-12-31,4.4383210173907,329.6918,1.3394
1995-12-31,5.5387492599471,398.1202,15
1996-12-31,6.5354347160022,454.375,13.5444
1997-12-31,7.6754126006651,516.1278,7.2743
1998-12-31,6.5063814165324,423.4033,4.6911
1999-12-31,6.1529229422454,387.6894,2.1815
2000-12-31,9.1295948155766,556.8842,3.0546
2001-12-31,8.9360792514209,527.4641,4.206
2002-12-31,15.285592486253,872.6576,13.6657
2003-12-31,17.812704627028,982.8056,2.99
2004-12-31,23.55205782046,1254.6961,10.95
2005-12-31,36.970901023789,1900.7238,15.03
2006-12-31,52.381025102321,2597.9636,11.55
2007-12-31,65.266415706974,3121.3487,14.01
2008-12-31,88.538664884265,4081.7175,11.17
2009-12-31,70.307196474127,3123.6989,0.86
2010-12-31,83.79947375972,3586.6637,4.3984
2011-12-31,111.78974767059,4608.1552,3.4721
2012-12-31,128.05291520299,5083.8269,8.5421
2013-12-31,132.33910870841,5061.3492,4.9546
2014-12-31,135.96680215654,5011.9844,4.8226
2015-12-31,90.496420626179,3217.3392,0.9436
2016-12-31,52.761617225925,1809.7094,-2.5801
2017-12-31,73.690155046555,2439.3744,-0.1471
2018-12-31,79.450688232001,2540.5089,-1.3164
2019-12-31,70.897962712621,2191.3478,-0.7023
2020-12-31,48.501561230001,1450.9051,-5.6382
2021-12-31,66.505129989243,1927.4741,1.1992
2022-12-31,106.78277071462,3000.4442,3.0454
