Macrotrends Data Download

Bangladesh GDP 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,4.2748940833333,84.8253,0
1961-12-31,4.817580375,92.8551,6.0582
1962-12-31,5.0814135416667,95.0478,5.453
1963-12-31,5.3194585625,96.5522,-0.4559
1964-12-31,5.3860548333333,94.8676,10.9528
1965-12-31,5.9066367916667,100.9679,1.6063
1966-12-31,6.4396878541667,106.8557,2.5668
1967-12-31,7.2535756875,116.7963,-1.8759
1968-12-31,7.4836857708333,116.9405,9.4895
1969-12-31,8.4710064375,128.6079,1.2209
1970-12-31,8.9927221666667,133.1429,5.6199
1971-12-31,8.7518431875,127.9955,-5.4795
1972-12-31,6.2882458666667,90.6784,-13.9737
1973-12-31,8.0867257293407,113.6657,3.3257
1974-12-31,12.512460519709,171.5262,9.592
1975-12-31,19.448348073457,260.3515,-4.0882
1976-12-31,10.117113333333,132.4575,5.6614
1977-12-31,9.6511493018746,123.5145,2.6731
1978-12-31,13.281767142857,166.0064,7.0738
1979-12-31,15.565480321945,190.0358,4.8016
1980-12-31,18.138049095607,216.1099,0.8191
1981-12-31,20.249694002448,235.0384,7.2339
1982-12-31,18.525399201597,209.1957,2.1343
1983-12-31,17.609048821549,193.4094,3.881
1984-12-31,18.92084,202.2878,4.8033
1985-12-31,22.278423076923,232.1658,3.342
1986-12-31,21.774033333333,221.5696,4.1734
1987-12-31,24.298032258064,241.7949,3.7724
1988-12-31,26.579005558365,258.8305,2.4163
1989-12-31,28.781715188892,274.3894,2.8366
1990-12-31,31.598340778216,294.9047,5.6223
1991-12-31,30.95748394958,283.3823,3.4852
1992-12-31,31.708874594165,284.967,5.4427
1993-12-31,33.166519417989,292.4253,4.7116
1994-12-31,33.768660882793,292.0788,3.8901
1995-12-31,37.939748768657,322.0874,5.1213
1996-12-31,46.438484107579,387.3849,4.5229
1997-12-31,48.24430913349,395.3181,4.4899
1998-12-31,49.984559471366,401.9652,5.177
1999-12-31,51.270569883527,404.4861,4.6702
2000-12-31,53.369787318624,413.1002,5.2933
2001-12-31,53.991289844329,410.0485,5.0773
2002-12-31,54.72408149051,407.963,3.8331
2003-12-31,60.158929188256,440.7144,4.7396
2004-12-31,65.108544250042,469.1165,5.2395
2005-12-31,69.442943089431,492.8086,6.5359
2006-12-31,71.81908368374,503.5383,6.6719
2007-12-31,79.611888213148,552.3389,7.0586
2008-12-31,91.631278239324,630.109,6.0138
2009-12-31,102.47777955679,698.5209,5.0451
2010-12-31,115.27907746523,776.8596,5.5718
2011-12-31,128.63798388283,856.3819,6.4644
2012-12-31,133.35582026292,876.818,6.5215
2013-12-31,149.99052983678,973.7739,6.0136
2014-12-31,172.88543268694,1108.515,6.0611
2015-12-31,195.0785732522,1236.0044,6.5526
2016-12-31,265.23639032863,1659.9625,7.1135
2017-12-31,293.754781336,1815.6103,6.5903
2018-12-31,321.37912790935,1963.4125,7.3194
2019-12-31,351.23839900545,2122.0784,7.8819
2020-12-31,373.90219786916,2233.3059,3.448
2021-12-31,416.26480054903,2457.924,6.9387
2022-12-31,460.20126552798,2688.3055,7.0998
