Macrotrends Data Download

Benin GDP 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,0.2261955784345,90.0358,0
1961-12-31,0.2356682205082,92.3749,3.1413
1962-12-31,0.2364349540386,91.1714,-3.4264
1963-12-31,0.253927697258,96.2547,4.73
1964-12-31,0.2698190058781,100.4681,6.6508
1965-12-31,0.2899086804264,105.9669,5.2939
1966-12-31,0.302925235152,108.6282,3.5759
1967-12-31,0.3062219531049,107.6829,1.0784
1968-12-31,0.3263231052648,112.478,3.8423
1969-12-31,0.3307482445396,111.6953,2.8775
1970-12-31,0.3336277134944,110.3469,2.0978
1971-12-31,0.3350730275412,108.4947,-1.4968
1972-12-31,0.4103318569912,129.9996,6.4264
1973-12-31,0.5043760741857,156.2803,3.7062
1974-12-31,0.5546548607026,168.0123,3.3393
1975-12-31,0.6768701403415,200.3343,-4.8953
1976-12-31,0.6984082619222,201.8329,0.8844
1977-12-31,0.7500497788407,211.4929,4.9837
1978-12-31,0.9288434694317,255.3924,1.2551
1979-12-31,1.1862310198204,317.8204,6.5357
1980-12-31,1.4052518465405,366.5295,6.7818
1981-12-31,1.291120188431,327.565,9.9542
1982-12-31,1.267778670359,312.6932,2.2351
1983-12-31,1.0953481994391,262.5773,-4.3478
1984-12-31,1.0511340087898,244.8444,7.9298
1985-12-31,1.0457127891488,236.6106,7.5303
1986-12-31,1.3361020252776,293.5596,2.1711
1987-12-31,1.5624122279006,333.2231,-1.5
1988-12-31,1.6202460837948,335.3419,3.4052
1989-12-31,1.5022944161713,301.6849,-2.8542
1990-12-31,1.9599653301477,381.8051,8.9761
1991-12-31,1.9864377965305,375.292,4.2258
1992-12-31,1.6953153057031,310.6237,2.9577
1993-12-31,2.2745580827614,398.613,5.8362
1994-12-31,1.5980759438677,269.7906,2.0204
1995-12-31,2.1696271379207,358.823,6.0452
1996-12-31,2.3611164493931,380.5883,4.3243
1997-12-31,2.2683016464671,355.1421,5.7347
1998-12-31,2.4550926863471,372.8773,3.961
1999-12-31,3.6773939987449,541.7023,5.3414
2000-12-31,3.5199914404791,502.998,5.8577
2001-12-31,3.6662226351387,508.3474,5.3331
2002-12-31,4.1943426862178,564.3791,4.643
2003-12-31,5.3492580944824,698.4088,3.4436
2004-12-31,6.1902703804986,784.1191,4.4297
2005-12-31,6.567654954389,805.9047,1.7132
2006-12-31,7.0341113148881,837.132,3.9437
2007-12-31,8.1690483828388,944.6432,5.9863
2008-12-31,9.7877345262397,1098.9467,4.8966
2009-12-31,9.7386265170032,1061.7184,2.3193
2010-12-31,9.5353450157836,1009.4895,2.1141
2011-12-31,10.693321363657,1099.4143,2.9638
2012-12-31,11.141358115899,1112.5695,4.8112
2013-12-31,12.517845123931,1214.2956,7.1914
2014-12-31,13.284527846908,1251.5048,6.3577
2015-12-31,11.388160997109,1041.6525,1.7782
2016-12-31,11.821065852127,1049.8203,3.3397
2017-12-31,12.701655845961,1095.2745,5.6716
2018-12-31,14.262408079701,1194.4382,6.6973
2019-12-31,14.390708756988,1170.886,6.8657
2020-12-31,15.686741893519,1240.7332,3.8488
2021-12-31,17.687623534666,1360.9115,7.1555
2022-12-31,17.396792699549,1302.851,6.2532
