Macrotrends Data Download

Egypt GDP 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,0,0,0
1961-12-31,0,0,5.1611
1962-12-31,0,0,3.8756
1963-12-31,0,0,10.5181
1964-12-31,0,0,11.5076
1965-12-31,4.9486675404107,160.5747,4.914
1966-12-31,5.2780056119145,166.9561,5.0464
1967-12-31,5.6054842989828,172.9639,0.8053
1968-12-31,5.9322429906542,178.6571,-1.6068
1969-12-31,6.5244552058111,191.9186,5.2795
1970-12-31,8.0422004521477,231.2174,5.5985
1971-12-31,8.6092833460852,242.1333,4.0573
1972-12-31,9.2996380558428,255.9714,3.0557
1973-12-31,10.098534613441,272.0454,3.5068
1974-12-31,9.2289632246,243.3133,1.5589
1975-12-31,11.632178868917,299.9872,8.9391
1976-12-31,13.315988083416,335.8463,13.2797
1977-12-31,14.400806875987,354.8976,9.003
1978-12-31,14.811704063069,356.2507,8.6288
1979-12-31,18.020571428571,422.696,4.5477
1980-12-31,21.669908176389,495.3285,10.0113
1981-12-31,22.136081081081,493.0132,7.3486
1982-12-31,27.655172413793,600.0431,9.9072
1983-12-31,30.966239813737,653.9354,5.0944
1984-12-31,33.971188991615,697.8979,9.7458
1985-12-31,39.053502251073,780.5105,5.7915
1986-12-31,41.253507951356,802.218,4.7445
1987-12-31,40.455616653574,765.6057,3.8328
1988-12-31,34.980124929018,644.2196,5.4613
1989-12-31,39.756299049979,712.9149,4.9209
1990-12-31,42.97891431135,751.1875,5.667
1991-12-31,37.387836490528,637.8976,1.1254
1992-12-31,41.855986519424,697.726,4.4729
1993-12-31,46.578631452581,758.8296,2.9008
1994-12-31,51.897983392645,826.719,3.9732
1995-12-31,60.159245060454,937.5432,4.6425
1996-12-31,67.629716981132,1031.4881,4.9887
1997-12-31,78.436578171092,1170.8048,5.4924
1998-12-31,84.82880755608,1239.3536,5.5755
1999-12-31,90.710704806842,1297.5747,6.0534
2000-12-31,99.838543960076,1398.8598,6.37
2001-12-31,96.684636118598,1327.0965,3.5353
2002-12-31,85.14606741573,1144.5324,2.3902
2003-12-31,80.288461538462,1056.9372,3.1935
2004-12-31,78.782467532467,1016.2539,4.0921
2005-12-31,89.600665557404,1133.1055,4.4717
2006-12-31,107.42608695652,1332.3394,6.8438
2007-12-31,130.43782837128,1586.4729,7.0878
2008-12-31,162.81818181818,1941.9,7.1563
2009-12-31,189.14700544465,2212.2181,4.6736
2010-12-31,218.98366606171,2509.772,5.1472
2011-12-31,235.98967297762,2645.6225,1.7646
2012-12-31,279.11666666667,3059.1354,2.2262
2013-12-31,288.43410852713,3088.8908,2.1855
2014-12-31,305.59540889527,3196.8614,2.9159
2015-12-31,329.36657681941,3370.3824,4.372
2016-12-31,332.44171779141,3331.6125,4.3466
2017-12-31,248.36277173913,2439.9673,4.1812
2018-12-31,262.58863252673,2531.2001,5.3311
2019-12-31,318.67881548975,3017.2583,5.5521
2020-12-31,383.8178415471,3571.5569,3.5502
2021-12-31,424.6717654557,3886.7225,3.2906
2022-12-31,476.74772036474,4295.4075,6.5878
