date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,40.385288344191,804.4926,0
1961-12-31,44.842760293192,887.3367,8.2072
1962-12-31,50.383891898991,990.2602,6.2037
1963-12-31,57.710743059834,1126.0193,5.6097
1964-12-31,63.175417019009,1222.5445,2.7977
1965-12-31,67.978153850519,1304.4538,3.268
1966-12-31,73.654870011276,1402.4424,5.9848
1967-12-31,81.13312006542,1533.6929,7.1786
1968-12-31,87.94223167835,1651.9394,6.5446
1969-12-31,97.085082807375,1813.3881,6.0981
1970-12-31,113.39531598513,2106.864,5.2687
1971-12-31,124.67236579276,2305.6098,1.8181
1972-12-31,145.26003984064,2671.1373,3.6905
1973-12-31,175.49205579542,3205.252,7.1259
1974-12-31,199.56448943138,3621.1458,5.5001
1975-12-31,227.69585112693,4106.9939,-2.0902
1976-12-31,224.71727843685,4033.0994,7.1254
1977-12-31,257.59631336406,4603.5997,2.5605
1978-12-31,315.05832306639,5610.4981,3.2401
1979-12-31,393.67716150082,6990.2858,5.9592
1980-12-31,477.25677594393,8456.919,3.43
1981-12-31,430.70285130301,7622.8333,0.8442
1982-12-31,427.27264566929,7556.5234,0.4136
1983-12-31,443.04237378888,7832.5754,1.1692
1984-12-31,437.88768900154,7739.7153,3.2259
1985-12-31,452.21749214076,7990.6866,2.7981
1986-12-31,640.38635277309,11315.0152,2.86
1987-12-31,805.71312817448,14234.7286,3.192
1988-12-31,891.60895715561,15744.6613,4.1944
1989-12-31,928.66133220435,16386.6622,3.3884
1990-12-31,1181.2226535229,20825.7842,1.9858
1991-12-31,1246.2201560793,21956.5298,1.5384
1992-12-31,1320.1616449332,23243.4745,0.8343
1993-12-31,1064.9580755506,18738.7639,-0.8528
1994-12-31,1099.2166882805,19337.6309,2.151
1995-12-31,1174.662070605,20664.5523,2.8868
1996-12-31,1312.4265277952,23081.6047,1.2668
1997-12-31,1241.8796043656,21829.3458,1.8302
1998-12-31,1270.0525259284,22318.1373,1.8106
1999-12-31,1252.4466598338,22005.0545,1.6257
2000-12-31,1146.6768942097,20137.5912,3.787
2001-12-31,1168.0234260564,20500.9544,1.9514
2002-12-31,1276.7693384493,22376.2979,0.2539
2003-12-31,1577.6217070505,27526.3225,0.1386
2004-12-31,1806.5429685456,31317.2008,1.4236
2005-12-31,1858.2171472037,32055.0921,0.8178
2006-12-31,1949.5517193896,33529.7266,1.7906
2007-12-31,2213.1024827515,37870.7475,1.4871
2008-12-31,2408.6553487186,40944.9124,-0.962
2009-12-31,2199.9288041186,37226.7572,-5.2809
2010-12-31,2136.0999552367,36035.645,1.7133
2011-12-31,2294.9942965895,38649.6395,0.7073
2012-12-31,2086.9576568216,35051.5213,-2.9809
2013-12-31,2141.9240942986,35560.0814,-1.8411
2014-12-31,2162.0096159965,35565.7214,-0.0045
2015-12-31,1836.6377110605,30242.3861,0.7783
2016-12-31,1877.0716876338,30960.7315,1.2935
2017-12-31,1961.7961973544,32406.7203,1.6679
2018-12-31,2091.932426267,34622.1697,0.9258
2019-12-31,2011.3021988274,33673.751,0.4832
2020-12-31,1897.4616355919,31922.9192,-8.9742
2021-12-31,2155.360298998,36449.2583,8.3138
2022-12-31,2049.737165408,34776.4232,3.7245
