date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,44.3073429504,475.3191,0
1961-12-31,53.508617739378,568.9077,12.0435
1962-12-31,60.723018683733,639.6408,8.909
1963-12-31,69.498131797333,724.6938,8.4736
1964-12-31,81.749006381511,843.6169,11.6767
1965-12-31,90.950278257778,928.5188,5.8197
1966-12-31,105.62807034311,1068.5584,10.6386
1967-12-31,123.7818802176,1239.3184,11.0821
1968-12-31,146.60107268551,1451.3377,12.8825
1969-12-31,172.20419948089,1684.6594,12.4779
1970-12-31,217.22365271944,2100.7481,2.455
1971-12-31,245.36405662236,2321.3909,4.699
1972-12-31,324.93384126858,3031.4386,8.4135
1973-12-31,441.46058253592,4061.0134,8.0326
1974-12-31,490.0357899703,4448.3197,-1.2252
1975-12-31,532.86143888472,4775.8995,3.0916
1976-12-31,598.8839021556,5310.4314,3.975
1977-12-31,737.06929092771,6472.7878,4.3903
1978-12-31,1035.6115882166,9012.136,5.2719
1979-12-31,1077.9100776764,9301.1483,5.484
1980-12-31,1129.377244854,9668.7463,2.8176
1981-12-31,1245.2214107641,10583.1279,4.2606
1982-12-31,1158.7314269058,9779.9749,3.2797
1983-12-31,1270.8599197429,10652.0147,3.6302
1984-12-31,1345.8245008368,11207.4524,4.4109
1985-12-31,1427.0197597174,11809.4603,5.1598
1986-12-31,2120.0838121099,17451.8349,3.294
1987-12-31,2580.7484227811,21141.7184,4.6489
1988-12-31,3125.7244344008,25499.8812,6.6616
1989-12-31,3109.4550478239,25265.9488,4.9258
1990-12-31,3185.9046566638,25801.395,4.8409
1991-12-31,3648.0657606489,29428.4289,3.5234
1992-12-31,3980.7029221177,31992.7902,0.9006
1993-12-31,4536.9404790383,36345.2441,-0.4592
1994-12-31,4998.797547741,39933.5151,1.0834
1995-12-31,5545.5636638897,44197.6191,2.631
1996-12-31,4923.3915338516,39150.0396,3.1339
1997-12-31,4492.4486056389,35638.232,0.9812
1998-12-31,4098.3627095312,32423.7556,-1.2703
1999-12-31,4635.9822240639,36610.1683,-0.3339
2000-12-31,4968.3590759566,39169.3596,2.7646
2001-12-31,4374.7116940909,34406.1825,0.3861
2002-12-31,4182.8460458736,32820.7936,0.042
2003-12-31,4519.5616452535,35387.0374,1.5351
2004-12-31,4893.1160056566,38298.9802,2.1861
2005-12-31,4831.4670353898,37812.895,1.8039
2006-12-31,4601.6631226499,35991.546,1.3724
2007-12-31,4579.7509203548,35779.0245,1.484
2008-12-31,5106.6791151273,39876.304,-1.2243
2009-12-31,5289.4931179939,41308.9968,-5.6932
2010-12-31,5759.0717690131,44968.1562,4.0979
2011-12-31,6233.1471723413,48760.0789,0.0238
2012-12-31,6272.362996105,49145.2804,1.3748
2013-12-31,5212.3281811662,40898.6479,2.0051
2014-12-31,4896.9944053533,38475.3952,0.2962
2015-12-31,4444.9306519642,34960.6394,1.5606
2016-12-31,5003.6776275442,39375.4732,0.7538
2017-12-31,4930.8373691514,38834.0529,1.6753
2018-12-31,5040.8809393249,39751.1331,0.6434
2019-12-31,5117.9938530165,40415.9568,-0.4022
2020-12-31,5055.5870935016,40040.7655,-4.1471
2021-12-31,5034.620784585,40058.5373,2.5593
2022-12-31,4256.4107607238,34017.2718,0.9547
