Macrotrends Data Download

South Korea GDP 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, GDP, Per Capita, Growth
date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1960-12-31,3.9588118811881,158.2741,0
1961-12-31,2.4176287365265,93.8314,6.936
1962-12-31,2.8146153846154,106.1597,3.8953
1963-12-31,3.9884615384615,146.3025,9.0206
1964-12-31,3.4590199427908,123.6064,9.4738
1965-12-31,3.1208614989144,108.7231,7.3184
1966-12-31,3.9290551435021,133.4798,11.994
1967-12-31,4.8558924458268,161.1594,9.0796
1968-12-31,6.1193948923711,198.4349,13.1658
1969-12-31,7.6786988375935,243.4261,14.5614
1970-12-31,9.0051449691167,279.3087,10.0527
1971-12-31,9.9035712485327,301.1787,10.5455
1972-12-31,10.862211760825,324.1928,7.2144
1973-12-31,13.876472208268,406.8971,14.8983
1974-12-31,19.543973941368,563.3525,9.5118
1975-12-31,21.784297520661,617.4561,7.8399
1976-12-31,29.902479338843,834.1342,13.2214
1977-12-31,38.446487603306,1055.88,12.336
1978-12-31,51.972107438017,1405.8224,10.953
1979-12-31,66.946900826446,1783.6223,8.6712
1980-12-31,65.398377597511,1715.4224,-1.6457
1981-12-31,72.933533011771,1883.456,7.2462
1982-12-31,78.358416171489,1992.5168,8.3381
1983-12-31,87.760553261928,2198.9393,13.3762
1984-12-31,97.510744119116,2413.2765,10.5516
1985-12-31,101.29617709938,2482.4,7.8389
1986-12-31,116.83624628483,2834.8903,11.3273
1987-12-31,147.94870937643,3554.606,12.7237
1988-12-31,199.59128782478,4748.6406,11.9877
1989-12-31,246.92883731141,5817.0656,7.0729
1990-12-31,283.36584416109,6609.9973,9.8776
1991-12-31,330.64704283733,7636.9481,10.7781
1992-12-31,355.52490306806,8126.6621,6.1986
1993-12-31,392.66571052541,8884.9195,6.8775
1994-12-31,463.61982351516,10385.3905,9.2687
1995-12-31,566.5810031282,12564.7244,9.6146
1996-12-31,610.16705382401,13402.9946,7.8907
1997-12-31,569.75502297303,12398.4905,6.1706
1998-12-31,383.33183368182,8281.7195,-5.1294
1999-12-31,497.51404064226,10672.4476,11.4669
2000-12-31,576.17938781961,12257.0207,9.0608
2001-12-31,547.65627989459,11561.2072,4.8524
2002-12-31,627.24693372962,13165.0836,7.7251
2003-12-31,702.7148551939,14672.8058,3.1473
2004-12-31,793.17556188703,16496.1316,5.1974
2005-12-31,934.90107133298,19402.5026,4.3085
2006-12-31,1053.2169098876,21743.4775,5.2643
2007-12-31,1172.6140865399,24086.4104,5.7995
2008-12-31,1047.3390102252,21350.428,3.013
2009-12-31,943.94187621874,19143.8516,0.7927
2010-12-31,1143.6722411497,23079.2601,6.8048
2011-12-31,1253.2895375008,25097.5954,3.6857
2012-12-31,1278.046536287,25459.1689,2.4025
2013-12-31,1370.6329553212,27179.517,3.1647
2014-12-31,1484.4885262718,29252.9312,3.2025
2015-12-31,1466.0389362064,28737.4392,2.8091
2016-12-31,1499.6798239096,29280.4403,2.9469
2017-12-31,1623.0741835019,31600.7359,3.1596
2018-12-31,1725.3734968254,33447.1563,2.9074
2019-12-31,1651.4229324478,31902.4169,2.244
2020-12-31,1644.3128319062,31721.2989,-0.7094
2021-12-31,1818.43210688,35142.2643,4.3047
2022-12-31,1673.9164690266,32422.5745,2.6127
