date, Population, Annual % Change
1950-12-31,4478184
1951-12-31,4569738,2.04
1952-12-31,4663958,2.06
1953-12-31,4758724,2.03
1954-12-31,4850458,1.93
1955-12-31,4938118,1.81
1956-12-31,5022109,1.7
1957-12-31,5104328,1.64
1958-12-31,5185839,1.6
1959-12-31,5269947,1.62
1960-12-31,5357195,1.66
1961-12-31,5441333,1.57
1962-12-31,5521400,1.47
1963-12-31,5599827,1.42
1964-12-31,5673199,1.31
1965-12-31,5736582,1.12
1966-12-31,5787044,0.88
1967-12-31,5827503,0.7
1968-12-31,5868203,0.7
1969-12-31,5928386,1.03
1970-12-31,6029700,1.71
1971-12-31,6177049,2.44
1972-12-31,6364731,3.04
1973-12-31,6578230,3.35
1974-12-31,6802494,3.41
1975-12-31,7032713,3.38
1976-12-31,7266780,3.33
1977-12-31,7511895,3.37
1978-12-31,7771590,3.46
1979-12-31,8043218,3.5
1980-12-31,8330047,3.57
1981-12-31,8631457,3.62
1982-12-31,8947152,3.66
1983-12-31,9276707,3.68
1984-12-31,9617702,3.68
1985-12-31,9970621,3.67
1986-12-31,10332574,3.63
1987-12-31,10694057,3.5
1988-12-31,11060261,3.42
1989-12-31,11439498,3.43
1990-12-31,11828638,3.4
1991-12-31,12228691,3.38
1992-12-31,12632507,3.3
1993-12-31,13038270,3.21
1994-12-31,13462031,3.25
1995-12-31,13912253,3.34
1996-12-31,14383350,3.39
1997-12-31,14871146,3.39
1998-12-31,15366864,3.33
1999-12-31,15870753,3.28
2000-12-31,16394062,3.3
2001-12-31,16941587,3.34
2002-12-31,17516139,3.39
2003-12-31,18124342,3.47
2004-12-31,18771125,3.57
2005-12-31,19450959,3.62
2006-12-31,20162340,3.66
2007-12-31,20909684,3.71
2008-12-31,21691522,3.74
2009-12-31,22507674,3.76
2010-12-31,23364185,3.81
2011-12-31,24259111,3.83
2012-12-31,25188292,3.83
2013-12-31,26147002,3.81
2014-12-31,27128337,3.75
2015-12-31,28127721,3.68
2016-12-31,29154746,3.65
2017-12-31,30208628,3.61
2018-12-31,31273533,3.53
2019-12-31,32353588,3.45
2020-12-31,33428486,3.32
2021-12-31,34503774,3.22
2022-12-31,35588987,3.15
2023-12-31,36684202,3.08
2024-12-31,37804634,3.05
2025-12-31,38942791,3.01
2026-12-31,40099526,2.97
2027-12-31,41274799,2.93
2028-12-31,42468711,2.89
2029-12-31,43680934,2.85
2030-12-31,44911664,2.82
2031-12-31,46161755,2.78
2032-12-31,47428242,2.74
2033-12-31,48710079,2.7
2034-12-31,50007927,2.66
2035-12-31,51321963,2.63
2036-12-31,52652827,2.59
2037-12-31,53998512,2.56
2038-12-31,55355639,2.51
2039-12-31,56723291,2.47
2040-12-31,58104437,2.43
2041-12-31,59498476,2.4
2042-12-31,60898051,2.35
2043-12-31,62306440,2.31
2044-12-31,63724815,2.28
2045-12-31,65146245,2.23
2046-12-31,66573219,2.19
2047-12-31,68005916,2.15
2048-12-31,69442324,2.11
2049-12-31,70883694,2.08
2050-12-31,72328068,2.04
2051-12-31,73774086,2
2052-12-31,75223158,1.96
2053-12-31,76674298,1.93
2054-12-31,78126279,1.89
2055-12-31,79575479,1.85
2056-12-31,81022753,1.82
2057-12-31,82473045,1.79
2058-12-31,83918902,1.75
2059-12-31,85350757,1.71
2060-12-31,86772720,1.67
2061-12-31,88190473,1.63
2062-12-31,89601398,1.6
2063-12-31,91008490,1.57
2064-12-31,92411186,1.54
2065-12-31,93802031,1.51
2066-12-31,95186902,1.48
2067-12-31,96561686,1.44
2068-12-31,97919777,1.41
2069-12-31,99270553,1.38
2070-12-31,100616429,1.36
2071-12-31,101952668,1.33
2072-12-31,103272579,1.29
2073-12-31,104577368,1.26
2074-12-31,105868752,1.23
2075-12-31,107147050,1.21
2076-12-31,108405569,1.17
2077-12-31,109640640,1.14
2078-12-31,110862763,1.11
2079-12-31,112069492,1.09
2080-12-31,113260742,1.06
2081-12-31,114437689,1.04
2082-12-31,115598067,1.01
2083-12-31,116740342,0.99
2084-12-31,117861818,0.96
2085-12-31,118967393,0.94
2086-12-31,120055714,0.91
2087-12-31,121119315,0.89
2088-12-31,122160893,0.86
2089-12-31,123179830,0.83
2090-12-31,124173415,0.81
2091-12-31,125146984,0.78
2092-12-31,126100607,0.76
2093-12-31,127033384,0.74
2094-12-31,127943409,0.72
2095-12-31,128830077,0.69
2096-12-31,129694099,0.67
2097-12-31,130531451,0.65
2098-12-31,131342265,0.62
2099-12-31,132131700,0.6
2100-12-31,132901280,0.58
