date, Population, Annual % Change
1950-12-31,2264452
1951-12-31,2280678,0.72
1952-12-31,2297832,0.75
1953-12-31,2316684,0.82
1954-12-31,2337371,0.89
1955-12-31,2360081,0.97
1956-12-31,2385282,1.07
1957-12-31,2413053,1.16
1958-12-31,2443407,1.26
1959-12-31,2476498,1.35
1960-12-31,2512284,1.45
1961-12-31,2551216,1.55
1962-12-31,2593302,1.65
1963-12-31,2638082,1.73
1964-12-31,2685619,1.8
1965-12-31,2735843,1.87
1966-12-31,2788642,1.93
1967-12-31,2843739,1.98
1968-12-31,2901218,2.02
1969-12-31,2961166,2.07
1970-12-31,3023443,2.1
1971-12-31,3088381,2.15
1972-12-31,3156408,2.2
1973-12-31,3227380,2.25
1974-12-31,3301276,2.29
1975-12-31,3378703,2.35
1976-12-31,3460329,2.42
1977-12-31,3546454,2.49
1978-12-31,3636927,2.55
1979-12-31,3732394,2.62
1980-12-31,3833939,2.72
1981-12-31,3941569,2.81
1982-12-31,4054385,2.86
1983-12-31,4171526,2.89
1984-12-31,4293070,2.91
1985-12-31,4419552,2.95
1986-12-31,4551382,2.98
1987-12-31,4688787,3.02
1988-12-31,4831624,3.05
1989-12-31,4979680,3.06
1990-12-31,5133419,3.09
1991-12-31,5293046,3.11
1992-12-31,5457778,3.11
1993-12-31,5706181,4.55
1994-12-31,5923394,3.81
1995-12-31,6046511,2.08
1996-12-31,6203860,2.6
1997-12-31,6387026,2.95
1998-12-31,6584183,3.09
1999-12-31,6788589,3.1
2000-12-31,6998023,3.09
2001-12-31,7212041,3.06
2002-12-31,7431783,3.05
2003-12-31,7659208,3.06
2004-12-31,7894554,3.07
2005-12-31,8149419,3.23
2006-12-31,8402631,3.11
2007-12-31,8647761,2.92
2008-12-31,8906469,2.99
2009-12-31,9172514,2.99
2010-12-31,9445710,2.98
2011-12-31,9726380,2.97
2012-12-31,10014078,2.96
2013-12-31,10308730,2.94
2014-12-31,10614844,2.97
2015-12-31,10932783,3
2016-12-31,11260085,2.99
2017-12-31,11596779,2.99
2018-12-31,11940683,2.97
2019-12-31,12290444,2.93
2020-12-31,12643123,2.87
2021-12-31,12996895,2.8
2022-12-31,13352864,2.74
2023-12-31,13712828,2.7
2024-12-31,14080072,2.68
2025-12-31,14454199,2.66
2026-12-31,14832937,2.62
2027-12-31,15216009,2.58
2028-12-31,15603721,2.55
2029-12-31,15996447,2.52
2030-12-31,16393827,2.48
2031-12-31,16795573,2.45
2032-12-31,17201982,2.42
2033-12-31,17613873,2.39
2034-12-31,18030401,2.36
2035-12-31,18450172,2.33
2036-12-31,18874268,2.3
2037-12-31,19303369,2.27
2038-12-31,19737070,2.25
2039-12-31,20176029,2.22
2040-12-31,20620647,2.2
2041-12-31,21069601,2.18
2042-12-31,21522780,2.15
2043-12-31,21980068,2.12
2044-12-31,22440979,2.1
2045-12-31,22905813,2.07
2046-12-31,23373375,2.04
2047-12-31,23842061,2.01
2048-12-31,24313238,1.98
2049-12-31,24787656,1.95
2050-12-31,25264035,1.92
2051-12-31,25742183,1.89
2052-12-31,26220469,1.86
2053-12-31,26699212,1.83
2054-12-31,27178512,1.8
2055-12-31,27657733,1.76
2056-12-31,28138196,1.74
2057-12-31,28617711,1.7
2058-12-31,29094226,1.67
2059-12-31,29570468,1.64
2060-12-31,30047895,1.61
2061-12-31,30526109,1.59
2062-12-31,31004245,1.57
2063-12-31,31480457,1.54
2064-12-31,31956066,1.51
2065-12-31,32430754,1.49
2066-12-31,32903327,1.46
2067-12-31,33375405,1.43
2068-12-31,33847130,1.41
2069-12-31,34314961,1.38
2070-12-31,34777866,1.35
2071-12-31,35238251,1.32
2072-12-31,35696668,1.3
2073-12-31,36154142,1.28
2074-12-31,36608678,1.26
2075-12-31,37056954,1.22
2076-12-31,37501952,1.2
2077-12-31,37944740,1.18
2078-12-31,38383265,1.16
2079-12-31,38818687,1.13
2080-12-31,39250774,1.11
2081-12-31,39676128,1.08
2082-12-31,40095914,1.06
2083-12-31,40510862,1.03
2084-12-31,40918116,1.01
2085-12-31,41320827,0.98
2086-12-31,41719417,0.96
2087-12-31,42111974,0.94
2088-12-31,42499584,0.92
2089-12-31,42878845,0.89
2090-12-31,43250534,0.87
2091-12-31,43617990,0.85
2092-12-31,43980480,0.83
2093-12-31,44335255,0.81
2094-12-31,44681929,0.78
2095-12-31,45022923,0.76
2096-12-31,45357192,0.74
2097-12-31,45683317,0.72
2098-12-31,46002060,0.7
2099-12-31,46313300,0.68
2100-12-31,46617384,0.66
