Macrotrends Data Download

Egypt Population 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,21150058
1951-12-31,21606363,2.16
1952-12-31,22108164,2.32
1953-12-31,22659254,2.49
1954-12-31,23241217,2.57
1955-12-31,23841701,2.58
1956-12-31,24453498,2.57
1957-12-31,25078378,2.56
1958-12-31,25700968,2.48
1959-12-31,26345761,2.51
1960-12-31,27034499,2.61
1961-12-31,27747867,2.64
1962-12-31,28485022,2.66
1963-12-31,29245936,2.67
1964-12-31,30026648,2.67
1965-12-31,30818469,2.64
1966-12-31,31613132,2.58
1967-12-31,32408414,2.52
1968-12-31,33204629,2.46
1969-12-31,33995955,2.38
1970-12-31,34781986,2.31
1971-12-31,35555969,2.23
1972-12-31,36330768,2.18
1973-12-31,37120776,2.17
1974-12-31,37930374,2.18
1975-12-31,38775584,2.23
1976-12-31,39649050,2.25
1977-12-31,40577356,2.34
1978-12-31,41576636,2.46
1979-12-31,42632458,2.54
1980-12-31,43748556,2.62
1981-12-31,44899573,2.63
1982-12-31,46088647,2.65
1983-12-31,47353665,2.74
1984-12-31,48676443,2.79
1985-12-31,50035843,2.79
1986-12-31,51424313,2.77
1987-12-31,52841319,2.76
1988-12-31,54298446,2.76
1989-12-31,55765843,2.7
1990-12-31,57214630,2.6
1991-12-31,58611032,2.44
1992-12-31,59989142,2.35
1993-12-31,61382200,2.32
1994-12-31,62775847,2.27
1995-12-31,64166908,2.22
1996-12-31,65565195,2.18
1997-12-31,66993728,2.18
1998-12-31,68446011,2.17
1999-12-31,69907887,2.14
2000-12-31,71371371,2.09
2001-12-31,72854261,2.08
2002-12-31,74393759,2.11
2003-12-31,75963322,2.11
2004-12-31,77522427,2.05
2005-12-31,79075310,2
2006-12-31,80629670,1.97
2007-12-31,82218755,1.97
2008-12-31,83844783,1.98
2009-12-31,85501064,1.98
2010-12-31,87252413,2.05
2011-12-31,89200054,2.23
2012-12-31,91240376,2.29
2013-12-31,93377890,2.34
2014-12-31,95592324,2.37
2015-12-31,97723799,2.23
2016-12-31,99784030,2.11
2017-12-31,101789386,2.01
2018-12-31,103740765,1.92
2019-12-31,105618671,1.81
2020-12-31,107465134,1.75
2021-12-31,109262178,1.67
2022-12-31,110990103,1.58
2023-12-31,112716598,1.56
2024-12-31,114484252,1.57
2025-12-31,116275465,1.56
2026-12-31,118058996,1.53
2027-12-31,119838003,1.51
2028-12-31,121611091,1.48
2029-12-31,123382198,1.46
2030-12-31,125151725,1.43
2031-12-31,126921867,1.41
2032-12-31,128705494,1.41
2033-12-31,130511810,1.4
2034-12-31,132340744,1.4
2035-12-31,134183751,1.39
2036-12-31,136037397,1.38
2037-12-31,137892015,1.36
2038-12-31,139742335,1.34
2039-12-31,141589905,1.32
2040-12-31,143422685,1.29
2041-12-31,145240099,1.27
2042-12-31,147040749,1.24
2043-12-31,148813595,1.21
2044-12-31,150552248,1.17
2045-12-31,152256979,1.13
2046-12-31,153937518,1.1
2047-12-31,155594880,1.08
2048-12-31,157213750,1.04
2049-12-31,158792464,1
2050-12-31,160339889,0.97
2051-12-31,161854139,0.94
2052-12-31,163339053,0.92
2053-12-31,164799523,0.89
2054-12-31,166230914,0.87
2055-12-31,167631369,0.84
2056-12-31,169011142,0.82
2057-12-31,170373038,0.81
2058-12-31,171707193,0.78
2059-12-31,173017278,0.76
2060-12-31,174311285,0.75
2061-12-31,175587421,0.73
2062-12-31,176841953,0.71
2063-12-31,178073988,0.7
2064-12-31,179284095,0.68
2065-12-31,180466106,0.66
2066-12-31,181622876,0.64
2067-12-31,182758060,0.63
2068-12-31,183869755,0.61
2069-12-31,184955563,0.59
2070-12-31,186013927,0.57
2071-12-31,187051149,0.56
2072-12-31,188065704,0.54
2073-12-31,189048126,0.52
2074-12-31,189999525,0.5
2075-12-31,190924691,0.49
2076-12-31,191819030,0.47
2077-12-31,192682940,0.45
2078-12-31,193517318,0.43
2079-12-31,194325600,0.42
2080-12-31,195111685,0.4
2081-12-31,195874917,0.39
2082-12-31,196615804,0.38
2083-12-31,197332109,0.36
2084-12-31,198019417,0.35
2085-12-31,198684171,0.34
2086-12-31,199326027,0.32
2087-12-31,199940286,0.31
2088-12-31,200528178,0.29
2089-12-31,201086011,0.28
2090-12-31,201609718,0.26
2091-12-31,202099581,0.24
2092-12-31,202560997,0.23
2093-12-31,202997583,0.22
2094-12-31,203408364,0.2
2095-12-31,203788850,0.19
2096-12-31,204137933,0.17
2097-12-31,204453664,0.15
2098-12-31,204740622,0.14
2099-12-31,204998891,0.13
2100-12-31,205225076,0.11
