date, Population, Annual % Change
1950-12-31,46391938
1951-12-31,46750760,0.77
1952-12-31,47016485,0.57
1953-12-31,47412139,0.84
1954-12-31,47833768,0.89
1955-12-31,48130728,0.62
1956-12-31,48403438,0.57
1957-12-31,48660253,0.53
1958-12-31,48930469,0.56
1959-12-31,49224675,0.6
1960-12-31,49517707,0.6
1961-12-31,49812730,0.6
1962-12-31,50162245,0.7
1963-12-31,50555128,0.78
1964-12-31,50997776,0.88
1965-12-31,51452854,0.89
1966-12-31,51882571,0.84
1967-12-31,52294442,0.79
1968-12-31,52661070,0.7
1969-12-31,53001503,0.65
1970-12-31,53324036,0.61
1971-12-31,53636099,0.59
1972-12-31,53995422,0.67
1973-12-31,54379582,0.71
1974-12-31,54750683,0.68
1975-12-31,55093989,0.63
1976-12-31,55388902,0.54
1977-12-31,55649667,0.47
1978-12-31,55877016,0.41
1979-12-31,56070678,0.35
1980-12-31,56329482,0.46
1981-12-31,56532910,0.36
1982-12-31,56585843,0.09
1983-12-31,56607516,0.04
1984-12-31,56620238,0.02
1985-12-31,56636465,0.03
1986-12-31,56639054,0
1987-12-31,56644530,0.01
1988-12-31,56670888,0.05
1989-12-31,56711524,0.07
1990-12-31,56756561,0.08
1991-12-31,56794489,0.07
1992-12-31,56833185,0.07
1993-12-31,56869454,0.06
1994-12-31,56883819,0.03
1995-12-31,56885126,0
1996-12-31,56898973,0.02
1997-12-31,56925800,0.05
1998-12-31,56938738,0.02
1999-12-31,56945068,0.01
2000-12-31,56966397,0.04
2001-12-31,56994993,0.05
2002-12-31,57107577,0.2
2003-12-31,57425175,0.56
2004-12-31,57860661,0.76
2005-12-31,58199876,0.59
2006-12-31,58429903,0.4
2007-12-31,58778482,0.6
2008-12-31,59224228,0.76
2009-12-31,59562841,0.57
2010-12-31,59822450,0.44
2011-12-31,60025952,0.34
2012-12-31,60190145,0.27
2013-12-31,60312599,0.2
2014-12-31,60322791,0.02
2015-12-31,60232906,-0.15
2016-12-31,60118626,-0.19
2017-12-31,60004032,-0.19
2018-12-31,59877425,-0.21
2019-12-31,59727932,-0.25
2020-12-31,59500579,-0.38
2021-12-31,59240329,-0.44
2022-12-31,59037474,-0.34
2023-12-31,58870762,-0.28
2024-12-31,58697744,-0.29
2025-12-31,58518843,-0.3
2026-12-31,58334490,-0.32
2027-12-31,58145107,-0.32
2028-12-31,57950037,-0.34
2029-12-31,57748925,-0.35
2030-12-31,57544258,-0.35
2031-12-31,57335522,-0.36
2032-12-31,57122854,-0.37
2033-12-31,56906954,-0.38
2034-12-31,56687086,-0.39
2035-12-31,56462486,-0.4
2036-12-31,56232293,-0.41
2037-12-31,55996946,-0.42
2038-12-31,55756846,-0.43
2039-12-31,55510870,-0.44
2040-12-31,55258472,-0.45
2041-12-31,54999062,-0.47
2042-12-31,54731605,-0.49
2043-12-31,54456717,-0.5
2044-12-31,54172671,-0.52
2045-12-31,53878465,-0.54
2046-12-31,53574516,-0.56
2047-12-31,53260724,-0.59
2048-12-31,52936136,-0.61
2049-12-31,52599485,-0.64
2050-12-31,52250484,-0.66
2051-12-31,51889661,-0.69
2052-12-31,51517231,-0.72
2053-12-31,51133594,-0.74
2054-12-31,50739281,-0.77
2055-12-31,50335709,-0.8
2056-12-31,49924399,-0.82
2057-12-31,49506354,-0.84
2058-12-31,49083571,-0.85
2059-12-31,48658271,-0.87
2060-12-31,48233137,-0.87
2061-12-31,47809382,-0.88
2062-12-31,47387438,-0.88
2063-12-31,46969747,-0.88
2064-12-31,46558431,-0.88
2065-12-31,46154408,-0.87
2066-12-31,45759142,-0.86
2067-12-31,45373167,-0.84
2068-12-31,44998006,-0.83
2069-12-31,44634438,-0.81
2070-12-31,44282762,-0.79
2071-12-31,43944077,-0.76
2072-12-31,43617922,-0.74
2073-12-31,43303331,-0.72
2074-12-31,43000217,-0.7
2075-12-31,42708893,-0.68
2076-12-31,42427559,-0.66
2077-12-31,42154938,-0.64
2078-12-31,41890060,-0.63
2079-12-31,41632499,-0.61
2080-12-31,41381769,-0.6
2081-12-31,41135645,-0.59
2082-12-31,40893535,-0.59
2083-12-31,40655446,-0.58
2084-12-31,40420976,-0.58
2085-12-31,40188385,-0.58
2086-12-31,39957052,-0.58
2087-12-31,39726906,-0.58
2088-12-31,39497804,-0.58
2089-12-31,39270546,-0.58
2090-12-31,39045143,-0.57
2091-12-31,38821139,-0.57
2092-12-31,38598118,-0.57
2093-12-31,38376516,-0.57
2094-12-31,38156344,-0.57
2095-12-31,37937651,-0.57
2096-12-31,37720649,-0.57
2097-12-31,37505628,-0.57
2098-12-31,37292910,-0.57
2099-12-31,37082387,-0.56
2100-12-31,36874247,-0.56
