Macrotrends Data Download

Niger Population 1950-2024
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population, Annual % Change
1950-12-31,2569191
1951-12-31,2659698,3.52
1952-12-31,2749567,3.38
1953-12-31,2838983,3.25
1954-12-31,2928430,3.15
1955-12-31,3018555,3.08
1956-12-31,3109788,3.02
1957-12-31,3202649,2.99
1958-12-31,3297840,2.97
1959-12-31,3395947,2.97
1960-12-31,3497431,2.99
1961-12-31,3602530,3.01
1962-12-31,3711068,3.01
1963-12-31,3822697,3.01
1964-12-31,3937008,2.99
1965-12-31,4053524,2.96
1966-12-31,4172501,2.94
1967-12-31,4294283,2.92
1968-12-31,4417954,2.88
1969-12-31,4542993,2.83
1970-12-31,4669708,2.79
1971-12-31,4797068,2.73
1972-12-31,4926318,2.69
1973-12-31,5059382,2.7
1974-12-31,5196579,2.71
1975-12-31,5339497,2.75
1976-12-31,5488658,2.79
1977-12-31,5644703,2.84
1978-12-31,5810351,2.93
1979-12-31,5987151,3.04
1980-12-31,6173177,3.11
1981-12-31,6366262,3.13
1982-12-31,6564445,3.11
1983-12-31,6766606,3.08
1984-12-31,6973849,3.06
1985-12-31,7187618,3.07
1986-12-31,7408364,3.07
1987-12-31,7636591,3.08
1988-12-31,7872252,3.09
1989-12-31,8116075,3.1
1990-12-31,8370648,3.14
1991-12-31,8634640,3.15
1992-12-31,8907644,3.16
1993-12-31,9193078,3.2
1994-12-31,9493324,3.27
1995-12-31,9813918,3.38
1996-12-31,10149937,3.42
1997-12-31,10494201,3.39
1998-12-31,10854920,3.44
1999-12-31,11231469,3.47
2000-12-31,11622665,3.48
2001-12-31,12031430,3.52
2002-12-31,12456517,3.53
2003-12-31,12900790,3.57
2004-12-31,13366885,3.61
2005-12-31,13855221,3.65
2006-12-31,14365168,3.68
2007-12-31,14897873,3.71
2008-12-31,15455175,3.74
2009-12-31,16037915,3.77
2010-12-31,16647543,3.8
2011-12-31,17283112,3.82
2012-12-31,17954407,3.88
2013-12-31,18653199,3.89
2014-12-31,19372014,3.85
2015-12-31,20128124,3.9
2016-12-31,20921743,3.94
2017-12-31,21737922,3.9
2018-12-31,22577058,3.86
2019-12-31,23443393,3.84
2020-12-31,24333639,3.8
2021-12-31,25252722,3.78
2022-12-31,26207977,3.78
2023-12-31,27202843,3.8
2024-12-31,28238972,3.81
2025-12-31,29315971,3.81
2026-12-31,30427550,3.79
2027-12-31,31572965,3.76
2028-12-31,32753299,3.74
2029-12-31,33969221,3.71
2030-12-31,35217942,3.68
2031-12-31,36498899,3.64
2032-12-31,37815958,3.61
2033-12-31,39167073,3.57
2034-12-31,40551808,3.54
2035-12-31,41971174,3.5
2036-12-31,43423749,3.46
2037-12-31,44909740,3.42
2038-12-31,46431153,3.39
2039-12-31,47985369,3.35
2040-12-31,49566690,3.3
2041-12-31,51181048,3.26
2042-12-31,52829810,3.22
2043-12-31,54507499,3.18
2044-12-31,56212092,3.13
2045-12-31,57946395,3.09
2046-12-31,59709808,3.04
2047-12-31,61501999,3
2048-12-31,63323897,2.96
2049-12-31,65171542,2.92
2050-12-31,67043296,2.87
2051-12-31,68934312,2.82
2052-12-31,70845050,2.77
2053-12-31,72777763,2.73
2054-12-31,74730106,2.68
2055-12-31,76701575,2.64
2056-12-31,78691383,2.59
2057-12-31,80697299,2.55
2058-12-31,82710065,2.49
2059-12-31,84728772,2.44
2060-12-31,86760446,2.4
2061-12-31,88808072,2.36
2062-12-31,90869894,2.32
2063-12-31,92939658,2.28
2064-12-31,95024936,2.24
2065-12-31,97128585,2.21
2066-12-31,99241890,2.18
2067-12-31,101355273,2.13
2068-12-31,103467355,2.08
2069-12-31,105582845,2.04
2070-12-31,107699637,2
2071-12-31,109816690,1.97
2072-12-31,111933526,1.93
2073-12-31,114052174,1.89
2074-12-31,116169610,1.86
2075-12-31,118284220,1.82
2076-12-31,120393262,1.78
2077-12-31,122491284,1.74
2078-12-31,124580386,1.71
2079-12-31,126665746,1.67
2080-12-31,128744959,1.64
2081-12-31,130813384,1.61
2082-12-31,132874226,1.58
2083-12-31,134925940,1.54
2084-12-31,136965049,1.51
2085-12-31,138991055,1.48
2086-12-31,141007050,1.45
2087-12-31,143006426,1.42
2088-12-31,144985399,1.38
2089-12-31,146942477,1.35
2090-12-31,148878636,1.32
2091-12-31,150796971,1.29
2092-12-31,152692196,1.26
2093-12-31,154566248,1.23
2094-12-31,156422120,1.2
2095-12-31,158252737,1.17
2096-12-31,160055585,1.14
2097-12-31,161831478,1.11
2098-12-31,163580628,1.08
2099-12-31,165307884,1.06
2100-12-31,167008298,1.03
