date, Population, Annual % Change
12/31/1950,2499322157,
12/31/1951,2543130380,1.75
12/31/1952,2590270899,1.85
12/31/1953,2640278797,1.93
12/31/1954,2691979339,1.96
12/31/1955,2746072141,2.01
12/31/1956,2801002631,2
12/31/1957,2857866857,2.03
12/31/1958,2916108097,2.04
12/31/1959,2970292188,1.86
12/31/1960,3019233434,1.65
12/31/1961,3068370609,1.63
12/31/1962,3126686743,1.9
12/31/1963,3195779247,2.21
12/31/1964,3267212338,2.24
12/31/1965,3337111983,2.14
12/31/1966,3406417036,2.08
12/31/1967,3475448166,2.03
12/31/1968,3546810808,2.05
12/31/1969,3620655275,2.08
12/31/1970,3695390336,2.06
12/31/1971,3770163092,2.02
12/31/1972,3844800885,1.98
12/31/1973,3920251504,1.96
12/31/1974,3995517077,1.92
12/31/1975,4069437231,1.85
12/31/1976,4142505882,1.8
12/31/1977,4215772490,1.77
12/31/1978,4289657708,1.75
12/31/1979,4365582871,1.77
12/31/1980,4444007706,1.8
12/31/1981,4524627658,1.81
12/31/1982,4607984871,1.84
12/31/1983,4691884238,1.82
12/31/1984,4775836074,1.79
12/31/1985,4861730613,1.8
12/31/1986,4950063339,1.82
12/31/1987,5040984495,1.84
12/31/1988,5132293974,1.81
12/31/1989,5223704308,1.78
12/31/1990,5316175862,1.77
12/31/1991,5406245867,1.69
12/31/1992,5492686093,1.6
12/31/1993,5577433523,1.54
12/31/1994,5660727993,1.49
12/31/1995,5743219454,1.46
12/31/1996,5825145298,1.43
12/31/1997,5906481261,1.4
12/31/1998,5987312480,1.37
12/31/1999,6067758458,1.34
12/31/2000,6148898975,1.34
12/31/2001,6230746982,1.33
12/31/2002,6312407360,1.31
12/31/2003,6393898365,1.29
12/31/2004,6475751478,1.28
12/31/2005,6558176119,1.27
12/31/2006,6641416218,1.27
12/31/2007,6725948544,1.27
12/31/2008,6811597272,1.27
12/31/2009,6898305908,1.27
12/31/2010,6985603105,1.27
12/31/2011,7073125425,1.25
12/31/2012,7161697921,1.25
12/31/2013,7250593370,1.24
12/31/2014,7339013419,1.22
12/31/2015,7426597537,1.19
12/31/2016,7513474238,1.17
12/31/2017,7599822404,1.15
12/31/2018,7683789828,1.1
12/31/2019,7764951032,1.06
12/31/2020,7840952880,0.98
12/31/2021,7909295151,0.87
12/31/2022,7975105156,0.83
12/31/2023,8045311447,0.88
12/31/2024,8118835999,0.91
