Macrotrends Data Download

Angola Urban Population 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Population, % of Total, Change
date, Urban Population, % of Total, Annual % Change
1960-12-31,559023,10.435,0
1961-12-31,587555,10.798,4.9779
1962-12-31,618618,11.204,5.1518
1963-12-31,650924,11.624,5.0905
1964-12-31,684074,12.058,4.9673
1965-12-31,717302,12.504,4.7431
1966-12-31,750290,12.965,4.4963
1967-12-31,783275,13.441,4.3024
1968-12-31,817558,13.932,4.2838
1969-12-31,855822,14.436,4.5741
1970-12-31,901862,14.957,5.2399
1971-12-31,965596,15.632,6.8284
1972-12-31,1047316,16.455,8.124
1973-12-31,1138692,17.31,8.365
1974-12-31,1238190,18.202,8.377
1975-12-31,1345217,19.128,8.2905
1976-12-31,1460041,20.092,8.1909
1977-12-31,1584108,21.088,8.1557
1978-12-31,1719231,22.122,8.1856
1979-12-31,1865383,23.192,8.1589
1980-12-31,2024035,24.298,8.1627
1981-12-31,2195584,25.437,8.1355
1982-12-31,2381016,26.612,8.1079
1983-12-31,2580873,27.821,8.06
1984-12-31,2795385,29.065,7.9842
1985-12-31,3024887,30.338,7.8904
1986-12-31,3269536,31.643,7.7774
1987-12-31,3526686,32.978,7.5711
1988-12-31,3798425,34.343,7.4228
1989-12-31,4087447,35.731,7.3334
1990-12-31,4393629,37.144,7.2235
1991-12-31,4717829,38.58,7.1193
1992-12-31,5057929,40.039,6.9608
1993-12-31,5412316,41.511,6.772
1994-12-31,5788673,43,6.7226
1995-12-31,6144903,44.169,5.972
1996-12-31,6522274,45.346,5.96
1997-12-31,6918801,46.525,5.9019
1998-12-31,7331531,47.71,5.7942
1999-12-31,7760322,48.897,5.6839
2000-12-31,8211294,50.087,5.6487
2001-12-31,8686629,51.274,5.6274
2002-12-31,9189142,52.461,5.6238
2003-12-31,9722803,53.645,5.6451
2004-12-31,10291645,54.827,5.6858
2005-12-31,10892537,56,5.6745
2006-12-31,11444951,56.764,4.9471
2007-12-31,12028087,57.524,4.9696
2008-12-31,12642253,58.282,4.98
2009-12-31,13287180,59.034,4.9755
2010-12-31,13967811,59.783,4.9956
2011-12-31,14683555,60.528,4.9973
2012-12-31,15432363,61.268,4.9739
2013-12-31,16211664,62.002,4.9264
2014-12-31,17017877,62.731,4.8533
2015-12-31,17845914,63.446,4.751
2016-12-31,18702478,64.149,4.6881
2017-12-31,19586972,64.839,4.6209
2018-12-31,20488542,65.514,4.5001
2019-12-31,21410634,66.177,4.4022
2020-12-31,22338586,66.825,4.2428
2021-12-31,23276246,67.46,4.1118
2022-12-31,24229338,68.081,4.0131
