Macrotrends Data Download

Bangladesh Urban Population 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Population, % of Total, Change
date, Urban Population, % of Total, Annual % Change
1960-12-31,2587857,5.135,0
1961-12-31,2738373,5.278,5.6534
1962-12-31,2939322,5.498,7.0815
1963-12-31,3155240,5.727,7.0886
1964-12-31,3386029,5.964,7.0593
1965-12-31,3633445,6.211,7.0523
1966-12-31,3897354,6.467,7.0117
1967-12-31,4181495,6.733,7.0371
1968-12-31,4485455,7.009,7.0171
1969-12-31,4805650,7.296,6.8952
1970-12-31,5128453,7.593,6.5012
1971-12-31,5402404,7.901,5.204
1972-12-31,5700993,8.221,5.3796
1973-12-31,6085016,8.553,6.5189
1974-12-31,6590105,9.034,7.974
1975-12-31,7347526,9.836,10.8794
1976-12-31,8173432,10.701,10.6525
1977-12-31,9087425,11.63,10.6003
1978-12-31,10104153,12.629,10.6055
1979-12-31,11222236,13.701,10.4951
1980-12-31,12464409,14.851,10.498
1981-12-31,13613326,15.801,8.8172
1982-12-31,14356591,16.212,5.316
1983-12-31,15141773,16.631,5.3248
1984-12-31,15956941,17.06,5.2437
1985-12-31,16789004,17.496,5.083
1986-12-31,17630934,17.941,4.8931
1987-12-31,18485183,18.395,4.7315
1988-12-31,19366087,18.859,4.6554
1989-12-31,20275947,19.33,4.5912
1990-12-31,21227021,19.811,4.584
1991-12-31,22129321,20.257,4.1629
1992-12-31,22933180,20.61,3.5681
1993-12-31,23779377,20.966,3.6234
1994-12-31,24658344,21.328,3.6297
1995-12-31,25552909,21.693,3.5636
1996-12-31,26449632,22.064,3.4491
1997-12-31,27383162,22.438,3.4686
1998-12-31,28374290,22.818,3.5555
1999-12-31,29409654,23.202,3.584
2000-12-31,30476706,23.59,3.564
2001-12-31,31727320,24.096,4.0215
2002-12-31,33207655,24.756,4.5602
2003-12-31,34711400,25.429,4.4288
2004-12-31,36243549,26.114,4.3193
2005-12-31,37777256,26.809,4.1446
2006-12-31,39247175,27.517,3.8172
2007-12-31,40699664,28.237,3.634
2008-12-31,42125647,28.968,3.4437
2009-12-31,43585126,29.709,3.4059
2010-12-31,45202909,30.462,3.6445
2011-12-31,46903386,31.225,3.6928
2012-12-31,48658361,31.993,3.6734
2013-12-31,50463354,32.762,3.6424
2014-12-31,52301622,33.535,3.578
2015-12-31,54148316,34.308,3.4699
2016-12-31,56057220,35.083,3.4646
2017-12-31,58016080,35.858,3.4347
2018-12-31,59960707,36.632,3.2969
2019-12-31,61911343,37.405,3.2014
2020-12-31,63916296,38.177,3.1871
2021-12-31,65957486,38.946,3.1436
2022-12-31,67979820,39.711,3.0201
