date, Urban Population, % of Total, Annual % Change
1960-12-31,108085352,16.203,0
1961-12-31,110327936,16.708,2.0536
1962-12-31,114685540,17.226,3.8737
1963-12-31,121162226,17.757,5.4936
1964-12-31,127791981,18.299,5.3273
1965-12-31,129348359,18.086,1.2105
1966-12-31,131746910,17.915,1.8374
1967-12-31,134196718,17.785,1.8424
1968-12-31,136747486,17.656,1.8829
1969-12-31,139527262,17.528,2.0124
1970-12-31,142386810,17.4,2.0287
1971-12-31,145443877,17.292,2.1243
1972-12-31,148131235,17.184,1.8308
1973-12-31,151552570,17.184,2.2834
1974-12-31,155688522,17.292,2.6925
1975-12-31,159452730,17.4,2.389
1976-12-31,162497601,17.46,1.8916
1977-12-31,165293316,17.52,1.7058
1978-12-31,171153535,17.9,3.4839
1979-12-31,180399661,18.617,5.2614
1980-12-31,189947471,19.358,5.1573
1981-12-31,199949784,20.118,5.1319
1982-12-31,210823843,20.902,5.2957
1983-12-31,220472140,21.545,4.4748
1984-12-31,230206255,22.203,4.3204
1985-12-31,240414890,22.874,4.339
1986-12-31,251325056,23.559,4.4381
1987-12-31,262976051,24.259,4.5316
1988-12-31,275121076,24.974,4.5148
1989-12-31,287504237,25.701,4.4026
1990-12-31,300165618,26.442,4.3097
1991-12-31,314301034,27.312,4.6017
1992-12-31,328521540,28.2,4.4251
1993-12-31,342961393,29.103,4.3015
1994-12-31,357836540,30.024,4.2458
1995-12-31,373035157,30.961,4.1596
1996-12-31,388593258,31.916,4.0861
1997-12-31,404485562,32.883,4.0083
1998-12-31,420606126,33.867,3.9081
1999-12-31,436766058,34.865,3.7701
2000-12-31,452999147,35.877,3.6493
2001-12-31,471767321,37.093,4.0596
2002-12-31,491993700,38.425,4.198
2003-12-31,512473984,39.776,4.0784
2004-12-31,533257098,41.144,3.9754
2005-12-31,554367818,42.522,3.8825
2006-12-31,575118254,43.868,3.6747
2007-12-31,595670841,45.199,3.5113
2008-12-31,616481190,46.539,3.434
2009-12-31,637407288,47.88,3.3381
2010-12-31,658498663,49.226,3.2554
2011-12-31,679390629,50.511,3.1234
2012-12-31,700996454,51.765,3.1307
2013-12-31,722694421,53.013,3.0484
2014-12-31,744357517,54.259,2.9535
2015-12-31,765822300,55.5,2.8429
2016-12-31,787376534,56.736,2.7756
2017-12-31,809246214,57.96,2.7397
2018-12-31,829760595,59.152,2.5034
2019-12-31,848982855,60.308,2.2902
2020-12-31,866810508,61.428,2.0781
2021-12-31,882894483,62.512,1.8385
2022-12-31,897578430,63.56,1.6495
