date, Urban Population, % of Total, Annual % Change
1960-12-31,58979628,63.272,0
1961-12-31,60395537,64.213,2.3723
1962-12-31,61843154,65.144,2.3686
1963-12-31,63355376,66.064,2.4158
1964-12-31,64897877,66.972,2.4055
1965-12-31,66476104,67.866,2.4028
1966-12-31,67914591,68.704,2.1408
1967-12-31,69431886,69.516,2.2095
1968-12-31,71026895,70.316,2.2712
1969-12-31,72679753,71.102,2.3004
1970-12-31,74322974,71.877,2.2357
1971-12-31,76805782,72.666,3.286
1972-12-31,78731730,73.452,2.4766
1973-12-31,80682335,74.22,2.4473
1974-12-31,82593959,74.975,2.3417
1975-12-31,84478613,75.716,2.2562
1976-12-31,85645846,75.944,1.3722
1977-12-31,86544997,76.002,1.0444
1978-12-31,87402828,76.06,0.9863
1979-12-31,88213150,76.118,0.9228
1980-12-31,88977732,76.175,0.863
1981-12-31,89743575,76.273,0.857
1982-12-31,90498578,76.383,0.8378
1983-12-31,91261504,76.493,0.8395
1984-12-31,91987180,76.603,0.792
1985-12-31,92696479,76.712,0.7681
1986-12-31,93340695,76.835,0.6926
1987-12-31,93946744,76.962,0.6472
1988-12-31,94492929,77.088,0.5797
1989-12-31,95025267,77.213,0.5618
1990-12-31,95496650,77.339,0.4948
1991-12-31,96038630,77.473,0.5659
1992-12-31,96566243,77.61,0.5479
1993-12-31,97049554,77.746,0.4992
1994-12-31,97489878,77.881,0.4527
1995-12-31,97888236,78.016,0.4078
1996-12-31,98272808,78.145,0.3921
1997-12-31,98667335,78.272,0.4007
1998-12-31,99095072,78.398,0.4326
1999-12-31,99434460,78.523,0.3419
2000-12-31,99760751,78.649,0.3276
2001-12-31,101706485,79.99,1.9316
2002-12-31,104055019,81.647,2.2829
2003-12-31,106256267,83.196,2.0934
2004-12-31,108136910,84.64,1.7544
2005-12-31,109856670,85.978,1.5778
2006-12-31,111383848,87.118,1.3806
2007-12-31,112827761,88.146,1.288
2008-12-31,114107975,89.103,1.1283
2009-12-31,115228215,89.989,0.9769
2010-12-31,116302928,90.812,0.9284
2011-12-31,116416235,91.069,0.0974
2012-12-31,116331281,91.148,-0.073
2013-12-31,116262976,91.226,-0.0587
2014-12-31,116208079,91.304,-0.0472
2015-12-31,116182717,91.381,-0.0218
2016-12-31,116219897,91.457,0.032
2017-12-31,116223820,91.535,0.0034
2018-12-31,116179166,91.616,-0.0384
2019-12-31,116119928,91.698,-0.051
2020-12-31,115884871,91.782,-0.2026
2021-12-31,115459909,91.867,-0.3674
2022-12-31,115058684,91.955,-0.3481
