Macrotrends Data Download

Niger Urban Population 1960-2024


DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


, Population, % of Total, Change
date, Urban Population, % of Total, Annual % Change
1960-12-31,202606,5.793,0
1961-12-31,212405,5.896,4.7232
1962-12-31,222664,6,4.7169
1963-12-31,239263,6.259,7.1899
1964-12-31,257047,6.529,7.1696
1965-12-31,276004,6.809,7.1156
1966-12-31,296248,7.1,7.0782
1967-12-31,321771,7.493,8.2643
1968-12-31,349283,7.906,8.2042
1969-12-31,378840,8.339,8.1231
1970-12-31,410654,8.794,8.0637
1971-12-31,444736,9.271,7.973
1972-12-31,481400,9.772,7.9218
1973-12-31,520914,10.296,7.8886
1974-12-31,563569,10.845,7.8705
1975-12-31,609717,11.419,7.8705
1976-12-31,659792,12.021,7.893
1977-12-31,713942,12.648,7.8877
1978-12-31,756798,13.025,5.8295
1979-12-31,792280,13.233,4.5818
1980-12-31,829860,13.443,4.6342
1981-12-31,869377,13.656,4.652
1982-12-31,910554,13.871,4.6276
1983-12-31,953415,14.09,4.5997
1984-12-31,998097,14.312,4.58
1985-12-31,1044792,14.536,4.5723
1986-12-31,1093697,14.763,4.5746
1987-12-31,1144954,14.993,4.5801
1988-12-31,1197291,15.209,4.4697
1989-12-31,1240867,15.289,3.5749
1990-12-31,1286401,15.368,3.6038
1991-12-31,1333966,15.449,3.6308
1992-12-31,1383268,15.529,3.6292
1993-12-31,1435039,15.61,3.6743
1994-12-31,1489597,15.691,3.7314
1995-12-31,1547949,15.773,3.8425
1996-12-31,1609273,15.855,3.8852
1997-12-31,1672461,15.937,3.8514
1998-12-31,1738958,16.02,3.899
1999-12-31,1808603,16.103,3.9269
2000-12-31,1881245,16.186,3.9379
2001-12-31,1956311,16.26,3.9127
2002-12-31,2024807,16.255,3.4414
2003-12-31,2096507,16.251,3.4798
2004-12-31,2171718,16.247,3.5246
2005-12-31,2250365,16.242,3.5574
2006-12-31,2332616,16.238,3.5898
2007-12-31,2418521,16.234,3.6166
2008-12-31,2508220,16.229,3.6417
2009-12-31,2602152,16.225,3.6765
2010-12-31,2700398,16.221,3.706
2011-12-31,2802629,16.216,3.7159
2012-12-31,2910768,16.212,3.7859
2013-12-31,3023310,16.208,3.7935
2014-12-31,3141947,16.219,3.849
2015-12-31,3270216,16.247,4.0013
2016-12-31,3408152,16.29,4.1314
2017-12-31,3554150,16.35,4.1946
2018-12-31,3708282,16.425,4.2453
2019-12-31,3872145,16.517,4.324
2020-12-31,4045711,16.626,4.3849
2021-12-31,4230083,16.751,4.4564
2022-12-31,4427576,16.894,4.5631
