date, Urban Population, % of Total, Annual % Change
1960-12-31,6930929,27.71,0
1961-12-31,7351204,28.531,5.887
1962-12-31,7811004,29.461,6.0669
1963-12-31,8289479,30.407,5.9454
1964-12-31,8779189,31.372,5.7397
1965-12-31,9286249,32.351,5.6151
1966-12-31,9815880,33.347,5.5467
1967-12-31,10537106,34.971,7.0901
1968-12-31,11362681,36.846,7.5431
1969-12-31,12225296,38.756,7.3173
1970-12-31,13123306,40.704,7.0882
1971-12-31,13896560,42.261,5.7252
1972-12-31,14639182,43.692,5.206
1973-12-31,15391092,45.131,5.0087
1974-12-31,16159311,46.579,4.8708
1975-12-31,16946391,48.033,4.7558
1976-12-31,17823527,49.719,5.0464
1977-12-31,18743336,51.476,5.0319
1978-12-31,19679806,53.233,4.8755
1979-12-31,20636698,54.981,4.7478
1980-12-31,21623805,56.72,4.6724
1981-12-31,22617087,58.407,4.4911
1982-12-31,23619800,60.061,4.338
1983-12-31,24621925,61.693,4.1552
1984-12-31,25577374,63.301,3.8071
1985-12-31,26473134,64.876,3.4422
1986-12-31,27480866,66.679,3.736
1987-12-31,28537079,68.563,3.7714
1988-12-31,29585374,70.389,3.6076
1989-12-31,30626132,72.148,3.4574
1990-12-31,31656393,73.844,3.3086
1991-12-31,32459655,74.972,2.5058
1992-12-31,33169705,75.82,2.1639
1993-12-31,33872973,76.645,2.098
1994-12-31,34575766,77.452,2.0536
1995-12-31,35280305,78.239,2.0172
1996-12-31,35810625,78.662,1.492
1997-12-31,36259672,78.905,1.2462
1998-12-31,36633453,79.145,1.0256
1999-12-31,37006183,79.384,1.0123
2000-12-31,37428328,79.621,1.1343
2001-12-31,37867709,79.94,1.1671
2002-12-31,38258247,80.299,1.026
2003-12-31,38626122,80.652,0.957
2004-12-31,38947802,81.002,0.8294
2005-12-31,39195731,81.345,0.6345
2006-12-31,39490771,81.528,0.7499
2007-12-31,39740941,81.631,0.6315
2008-12-31,40093884,81.733,0.8842
2009-12-31,40351067,81.835,0.6394
2010-12-31,40602657,81.936,0.6216
2011-12-31,40909592,81.923,0.7531
2012-12-31,41089082,81.851,0.4378
2013-12-31,41240244,81.779,0.3672
2014-12-31,41463573,81.707,0.5401
2015-12-31,41645542,81.634,0.4379
2016-12-31,41774264,81.562,0.3086
2017-12-31,41861498,81.503,0.2086
2018-12-31,42020672,81.459,0.3795
2019-12-31,42152095,81.43,0.3123
2020-12-31,42201956,81.414,0.1182
2021-12-31,42127573,81.414,-0.1764
2022-12-31,42039227,81.427,-0.2099
