date, Urban Population, % of Total, Annual % Change
1960-12-31,126462473,69.996,0
1961-12-31,129276215,70.377,2.2006
1962-12-31,131988693,70.757,2.0765
1963-12-31,134615404,71.134,1.9706
1964-12-31,137215986,71.508,1.9134
1965-12-31,139663053,71.879,1.7677
1966-12-31,142008703,72.247,1.6656
1967-12-31,144288757,72.612,1.5928
1968-12-31,146463196,72.974,1.4958
1969-12-31,148629124,73.333,1.468
1970-12-31,150922373,73.602,1.5312
1971-12-31,152865492,73.613,1.2793
1972-12-31,154531732,73.623,1.0841
1973-12-31,156034954,73.633,0.9681
1974-12-31,157488501,73.643,0.9272
1975-12-31,159070594,73.653,0.9996
1976-12-31,160611122,73.663,0.9638
1977-12-31,162256678,73.673,1.0193
1978-12-31,164005080,73.682,1.0718
1979-12-31,165847531,73.692,1.1171
1980-12-31,167551171,73.738,1.022
1981-12-31,169552427,73.89,1.1873
1982-12-31,171528659,74.042,1.1588
1983-12-31,173459636,74.194,1.1195
1984-12-31,175321738,74.344,1.0678
1985-12-31,177239105,74.494,1.0877
1986-12-31,179244877,74.644,1.1253
1987-12-31,181215212,74.793,1.0932
1988-12-31,183232441,74.942,1.107
1989-12-31,185333919,75.089,1.1404
1990-12-31,187966119,75.3,1.4103
1991-12-31,191509147,75.701,1.8674
1992-12-31,195199459,76.097,1.9086
1993-12-31,198806845,76.488,1.8312
1994-12-31,202278113,76.875,1.731
1995-12-31,205718394,77.257,1.6865
1996-12-31,209146726,77.636,1.6528
1997-12-31,212694273,78.008,1.682
1998-12-31,216206090,78.377,1.6376
1999-12-31,219721677,78.742,1.613
2000-12-31,223069137,79.057,1.512
2001-12-31,225792302,79.234,1.2134
2002-12-31,228400290,79.409,1.1484
2003-12-31,230876596,79.583,1.0784
2004-12-31,233532722,79.757,1.1439
2005-12-31,236200507,79.928,1.1359
2006-12-31,238999326,80.099,1.178
2007-12-31,241795278,80.269,1.1631
2008-12-31,244607104,80.438,1.1562
2009-12-31,247276259,80.606,1.0853
2010-12-31,249849720,80.772,1.0353
2011-12-31,252208133,80.944,0.9395
2012-12-31,254614421,81.119,0.9496
2013-12-31,256953576,81.299,0.9145
2014-12-31,259430732,81.483,0.9594
2015-12-31,261950744,81.671,0.9667
2016-12-31,264473000,81.862,0.9583
2017-12-31,266788716,82.058,0.8718
2018-12-31,268844029,82.256,0.7674
2019-12-31,270737596,82.459,0.7019
2020-12-31,274040676,82.664,1.2126
2021-12-31,275164510,82.873,0.4093
2022-12-31,276908634,83.084,0.6318
